Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje,Puntaje_v3
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",las extracciones están siendo canalizadas a través del río san juan a la presa el cuchillo aunque no hay riesgo para la población aguas abajo se hace un llamado a extremar precauciones y atender las indicaciones de las autoridades locales y de proteccióncivil,22,6,0,0,https://twitter.com/conagua_mx/status/1803980950629429683#m,,,,no se relaciona,0.0792016834020614,-1.133337825536728
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las h se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,159,30,1,2,https://twitter.com/conagua_mx/status/1803980948914012667#m,,['https://video.twimg.com/ext_tw_video/1803980909273624578/pu/pl/eF9GKfL-epglWvJc.m3u8?tag=12'],,lluvia,-0.3753650337457657,-1.3893937021493912
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",además se prevén lluvias intensas en durango guanajuato hidalgo nayarit querétaro y zacatecas muy fuertes en aguascalientes campeche chihuahua colima guerrero jalisco michoacán quintana roo y sinaloa así como fuertes en yucatán,12,5,1,0,https://twitter.com/GermanMSantoyo/status/1803964012696043834#m,,,,lluvia,-0.1745737642049789,-1.3719058530405164
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",aunque alberto ya se disipó es preciso no bajar la guardia porque sus remanentes siguen provocando lluvias considerables el smnmx informa que durante esta noche y madrugada habrá lluvias torrenciales en chiapas coahuila nl oax pue slp tamaulipas y veracruz,120,25,3,1,https://twitter.com/GermanMSantoyo/status/1803964010968015285#m,['https://pbs.twimg.com/media/GQj3tMsXUAAT5E_.jpg'],,,lluvia,-0.9274317361414433,-1.3998966552317142
@conagua_mx,Conagua,"Jun 21, 2024 · 1:16 AM UTC",se pronostican lluvias torrenciales para coahuila nuevoleón oaxaca puebla sanluispotosí tamaulipas y veracruz más información en,19,6,0,0,https://twitter.com/conagua_mx/status/1803960266834743694#m,['https://pbs.twimg.com/media/GQj0SajakAY6SZ7.jpg'],,,lluvia,-0.299124076962471,-1.4096021912992
@conagua_mx,Conagua,"Jun 21, 2024 · 1:15 AM UTC",como medida preventiva ante las lluvias que genera la bajapresión remanente de alberto a las hrs se incrementó la extracción en la presa la boca pasando de ms a ms por vertedor controlado actualmente tiene un de llenado con ingresos de ms,22,3,1,0,https://twitter.com/conagua_mx/status/1803959774230515780#m,,,,lluvia,0.0778673589229583,-1.3946770764887333
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",las extracciones en la presa la boca son canalizadas a través del río san juan a la presa el cuchillo aunque no hay riesgo para la población aguas abajo se hace un llamado a extremar precauciones y atender las indicaciones de las autoridades locales y de proteccióncivil,12,1,1,0,https://twitter.com/conagua_mx/status/1803921800876961936#m,,,,inundación,0.143234297633171,-1.1214321553707123
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las horas se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,48,9,1,0,https://twitter.com/conagua_mx/status/1803921797953524066#m,['https://pbs.twimg.com/media/GQjRS9takAEOzbD.jpg'],,,lluvia,-0.1931569576263427,-1.3917695432901382
@conagua_mx,Conagua,"Jun 20, 2024 · 10:02 PM UTC",avisometrorológico alberto ahora bajapresión remanente genera lluvias torrenciales en siete entidades más información en,16,4,1,0,https://twitter.com/conagua_mx/status/1803911387460018625#m,['https://pbs.twimg.com/media/GQjH139XEAA24lk.jpg'],,,lluvia,-1.327282331883907,-1.404294639825821
@conagua_mx,Conagua,"Jun 20, 2024 · 7:37 PM UTC",no se esperan afectaciones aguas abajo derivadas de dicha maniobra sin embargo se mantiene estrecha coordinación con las autoridades locales y de proteccióncivil,24,6,1,0,https://twitter.com/conagua_mx/status/1803874788693414050#m,"['https://pbs.twimg.com/media/GQimjhLWUAEHoMJ.jpg', 'https://pbs.twimg.com/media/GQimjiiWIAAzFiR.jpg']",,,no se relaciona,-0.1950906589627266,-1.1196829974651337
@conagua_mx,Conagua,"Jun 20, 2024 · 6:00 PM UTC",comunicado el gobiernomx ha fortalecido el acceso de la población a su derecho humano al agua más información en,17,8,0,0,https://twitter.com/conagua_mx/status/1803850350157533348#m,['https://pbs.twimg.com/media/GQiQVHhakAYH_25.jpg'],,,no se relaciona,0.928266029804945,-1.0737287998199463
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",en el transcurso del día de hoy quede restablecida la entrega de agua potable en bloque a la zmvm en todo momento el ocavm estuvo en coordinación con los organismos operadores de la cdmx y el edomex para afectar lo menos posible a la población,15,1,0,0,https://twitter.com/conagua_mx/status/1803807452846071884#m,['https://pbs.twimg.com/media/GQhpUeMXgAAv_t-.jpg'],,,inundación,0.6377687752246857,-0.9592554718255997
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",la reparación y cambio de la infraestructura dañada inició a las hrs del miércoles y concluyeron a las hrs luego de lo cual se llevaron a cabo maniobras para iniciar el llenado paulatino del acueducto que conduce agua potable hacia la cdmx y el edomex,16,3,2,0,https://twitter.com/conagua_mx/status/1803807446999122026#m,"['https://pbs.twimg.com/media/GQhpUCuXsAEOGEr.jpg', 'https://pbs.twimg.com/media/GQhpUDUXsAEzXLP.jpg']",,,no se relaciona,-1.082469716668129,-0.994073323905468
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",con personal y equipo especializado el organismo de cuenca aguas del valledeméxico de la conaguamx concluyó de forma anticipada a lo inicialmente previsto las reparaciones de la fuga presentada en la planta de bombeo número del sistema cutzamala,60,24,3,1,https://twitter.com/conagua_mx/status/1803807439608758281#m,['https://pbs.twimg.com/media/GQhpPM9WMAI63Op.jpg'],,,inundación,0.9337914884090424,-1.0308929085731506
@conagua_mx,Conagua,"Jun 20, 2024 · 1:32 PM UTC",comunicado antes de lo programado se concluye reparación de fuga en la planta de bombeo del sistema cutzamala más información en,64,24,5,1,https://twitter.com/conagua_mx/status/1803782864611238096#m,['https://pbs.twimg.com/media/GQhS9NIWEAA8q2c.jpg'],,,inundación,-0.7265093475580215,-1.0426661521196365
@conagua_mx,Conagua,"Jun 20, 2024 · 12:04 PM UTC",avisometeorológico alberto se ubica muy próximo a las costas de tamaulipas y veracruz y ocasiona lluvias en gran parte de méxico más información en,26,6,0,0,https://twitter.com/conagua_mx/status/1803760724994351602#m,['https://pbs.twimg.com/media/GQg-0jHWcAAWJRU.jpg'],,,lluvia,-0.0207864642143249,-1.383421316742897
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 1:22 AM UTC",su amplia circulación produce lluvias extraordinarias en nuevo león tamaulipas san luis potosí veracruz hidalgo y puebla lluvias torrenciales en coahuila lluvias intensas en zacatecas querétaro oaxaca chiapas tabasco campeche y quintana roo,6,4,1,0,https://twitter.com/GermanMSantoyo/status/1803599163944247541#m,,,,lluvia,-0.2983250617980957,-1.3830948416143656
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 19, 2024 · 9:45 PM UTC",debido al paso de la tormentatropical alberto se pronostican lluvias y vientos importantes en campeche chiapas coahuila guanajuato hidalgo nuevo león oaxaca puebla querétaro quintana roo san luis potosí tabasco tamaulipas veracruz y yucatán,46,31,1,0,https://twitter.com/GermanMSantoyo/status/1803544680493166846#m,['https://pbs.twimg.com/media/GQd6U7tasAAt89c.jpg'],,,lluvia,-0.262672558426857,-1.2568440698087215
@conagua_mx,Conagua,"Jun 19, 2024 · 8:40 PM UTC",comunicado ante paso del ciclón alberto es necesario extremar precauciones por lluvia viento y oleaje gobiernomx más información en,7,2,0,0,https://twitter.com/conagua_mx/status/1803528285017743607#m,['https://pbs.twimg.com/media/GQdrYX2a0AAMPiw.jpg'],,,lluvia,-0.1339389681816101,-1.2382262758910656
@elnortelocal,elnortelocal,"Jun 21, 2024 · 11:37 PM UTC",local la tormenta alberto dejó una estampa impresionante de la corriente en el río santacatarina en nl ve el antes y el después de sus efectos,3,4,0,0,https://twitter.com/elnortelocal/status/1804297618865914027#m,,,,inundación,0.7259303480386734,-1.270152486860752
@elnortelocal,elnortelocal,"Jun 21, 2024 · 7:28 PM UTC",local conagua vigila una zona de baja presión en el golfo con potencial para desarrollo ciclónico que traerá lluvias a partir del domingo a nl,20,10,1,1,https://twitter.com/elnortelocal/status/1804234944123932795#m,,,,lluvia,0.4820108041167259,-1.3443112168461084
@elnortelocal,elnortelocal,"Jun 21, 2024 · 5:42 PM UTC",entérate sectores aledaños a la presa libertad sufren inundaciones generadas por los escurrimientos de las lluvias acumuladas en linares más información en,44,11,0,0,https://twitter.com/elnortelocal/status/1804208385442607331#m,,['https://video.twimg.com/ext_tw_video/1804208357596663808/pu/pl/DhgOaA3w9DpIIBK9.m3u8?tag=12'],,inundación,-1.1581644862890244,-1.4419345818459988
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:50 PM UTC",entérate tras las lluvias de alberto el gobernador samuel garcía se compromete a arrancar el lunes la reconstrucción de los daños en el par vial,8,1,2,0,https://twitter.com/elnortelocal/status/1804195172462522809#m,,,,lluvia,0.2675295025110245,-1.3927829153835773
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:49 PM UTC",entérate toneladas de escombro y basura sepultan la avenida luis donaldo colosio en santa catarina tras escurrimientos por la tormenta alberto,6,2,1,0,https://twitter.com/elnortelocal/status/1804195016228901325#m,,,,inundación,-1.238953746855259,-1.2836247868835926
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:48 PM UTC",entérate la conagua reporta que algunas estaciones de medición alcanzan los milímetros de agua tras las lluvias de la tormenta alberto en nl,24,5,0,0,https://twitter.com/elnortelocal/status/1804194744689479787#m,,,,lluvia,-0.9051626026630402,-1.3905228897929192
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:50 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,15,2,5,0,https://twitter.com/elnortelocal/status/1804164890686337412#m,,,,inundación,-0.9468614608049392,-1.0419159084558487
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:36 PM UTC",local la tormenta alberto ya impacta en recarga de presas de nl y en algunos daños que no fueron similares a los causados por otros fenómenos más información en,16,2,0,1,https://twitter.com/elnortelocal/status/1804161377080139789#m,,,,no se relaciona,-0.0819204151630401,-1.4095432050526142
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:34 PM UTC",local luego de su peor nivel en años las presas que abastecen a la ciudad suben su almacenamiento en conjunto con lluvias de alberto más información en,3,1,0,0,https://twitter.com/elnortelocal/status/1804161032232780003#m,,,,lluvia,-0.642053946852684,-1.3858708441257477
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:58 AM UTC",local la tormenta alberto provoca deslaves que paralizan la autopista y la carretera libre de monterrey a saltillo y causan filas kilométricas,10,1,0,0,https://twitter.com/elnortelocal/status/1803985907457888501#m,,,,inundación,-1.4992207810282707,-1.3220581710338593
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC",local conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas tras degradación de alberto,77,25,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,,,lluvia,-1.0465852953493595,-1.2956966565301022
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC",entérate la sierra de santiago es impactada por lluvias de la tormenta alberto que dejó deslaves e inundaciones la cola de caballo se desborda más información en,74,16,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/pl/u5u8-S8iUBWsa1-e.m3u8?tag=12'],,inundación,-1.161274567246437,-1.3382265912368894
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:34 PM UTC",entérate la fuerza de los afluentes de agua en el parque la huasteca tras las lluvias por alberto rompen la carretera a la presa rompepicos más información en federico padilla,266,60,2,0,https://twitter.com/elnortelocal/status/1803934448070598743#m,,['https://video.twimg.com/ext_tw_video/1803934404856684544/pu/pl/U7O_AJMksi_z5yAl.m3u8?tag=12'],,lluvia,-1.1401219479739666,-1.3909921310842037
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:01 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,31,9,5,2,https://twitter.com/elnortelocal/status/1803926224013512758#m,,,,inundación,-0.9468614608049392,-1.0419159084558487
@elnortelocal,elnortelocal,"Jun 20, 2024 · 9:32 PM UTC",local conagua inicia con desfogue del embalse para liberar espacio en la presa la boca para que capte más escurrimientos de la tormenta alberto más información en,589,65,6,1,https://twitter.com/elnortelocal/status/1803903688466932173#m,,['https://video.twimg.com/ext_tw_video/1803903624625389568/pu/pl/aZfnxM5AbfmsmKER.m3u8?tag=12'],,no se relaciona,0.0125597268342971,-1.264309473335743
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC",local la casa del tec ubicada en santa catarina y que será rifada este sábado sufre inundaciones por las lluvias de la tormenta alberto más información en,40,13,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/pl/kdU2UaE3QVmJttZc.m3u8?tag=12'],,inundación,-1.041253674775362,-1.3381779296323657
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:16 PM UTC",entérate una familia en montemorelos es rescatada al quedar atrapada por el agua en santiago trabajadores rescatan embalses y en guadalupe ayudan a un caballo amarrado cerca del río santa catarina más información,37,11,1,1,https://twitter.com/elnortelocal/status/1803884525316985189#m,['https://pbs.twimg.com/media/GQir2DUXEAATKw4.jpg'],,,inundación,0.4094616696238518,-1.0410638004541397
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:56 PM UTC",local conagua inicia con desfogue del embalse para liberar espacio en la presa la boca para que capte más escurrimientos de la tormenta alberto,16,2,1,2,https://twitter.com/elnortelocal/status/1803879665393696788#m,,,,no se relaciona,-0.0888678282499313,-1.2454926706850529
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:05 PM UTC",local ayd pide a la población no beber agua de la llave ya que por las recientes lluvias los procesos de purificación no alcanzan a aclararla,967,242,57,23,https://twitter.com/elnortelocal/status/1803866682655424820#m,,['https://video.twimg.com/ext_tw_video/1803866604289056769/pu/pl/AK4Kkhb2EQ-3jJut.m3u8?tag=12'],,lluvia,-1.1703284587711096,-1.404043983668089
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:03 PM UTC",local colonias de la zona norte de monterrey sufren las afectaciones por tormenta alberto al desbordarse el drenaje sanitario,3,2,0,0,https://twitter.com/elnortelocal/status/1803866321874227440#m,,,,inundación,-1.0670809969305992,-1.308308944106102
@elnortelocal,elnortelocal,"Jun 20, 2024 · 6:40 PM UTC",entérate las lluvias por la tormenta alberto provocan el cierre de la autopista y la carretera libre de monterrey a saltillo reportan deslaves más información en,50,12,1,0,https://twitter.com/elnortelocal/status/1803860429136912628#m,,['https://video.twimg.com/ext_tw_video/1803860412506472448/pu/pl/gq8lQgPofWsY3JKa.m3u8?tag=12'],,inundación,-1.314012460410595,-1.358910252340138
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:35 PM UTC",local ante lluvias de alberto un tramo del carril exprés sobre la avenida constitución se deslava y cae al río santa catarina,127,32,1,5,https://twitter.com/elnortelocal/status/1803844125453881378#m,,['https://video.twimg.com/ext_tw_video/1803843637819625472/pu/pl/-GYmTNosIfuxV515.m3u8?tag=12'],,lluvia,-1.015900555998087,-1.3887009471654892
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:20 PM UTC",local por las fuertes lluvias más de colonias del sur de monterrey reportan quedarse sin luz desde la madrugada de este jueves,10,3,4,1,https://twitter.com/elnortelocal/status/1803840427377758408#m,,,,lluvia,-1.11871487647295,-1.39296780154109
@elnortelocal,elnortelocal,"Jun 20, 2024 · 3:05 PM UTC",entérate el nivel del río santa catarina luce con un mayor flujo de agua por las fuertes lluvias que han azotado a la ciudad durante esta madrugada,20,4,2,1,https://twitter.com/elnortelocal/status/1803806265635709385#m,,,,lluvia,-0.7486121580004692,-1.361367505043745
@elnortelocal,elnortelocal,"Jun 20, 2024 · 2:59 PM UTC",local lluvias torrenciales de la tormenta tropical alberto desbordan afluentes y provocan inundaciones en la cabecera municipal de aramberri más información,110,30,2,3,https://twitter.com/elnortelocal/status/1803804990470824026#m,,['https://video.twimg.com/ext_tw_video/1803804965376274432/pu/pl/PswyHic8JpL8Eial.m3u8?tag=12'],,inundación,-1.1630887053906918,-1.3534242762252688
@elnortelocal,elnortelocal,"Jun 20, 2024 · 1:27 AM UTC",local el río pilón en montemorelos presenta gran flujo de agua tras las lluvias presentadas durante la tarde al sur del estado más información,88,12,0,0,https://twitter.com/elnortelocal/status/1803600518272491817#m,,['https://video.twimg.com/ext_tw_video/1803599744234614784/pu/pl/ZUUfQeXGAQQc09e5.m3u8?tag=12'],,lluvia,-0.8082382529973984,-1.3752766773104668
@elnortelocal,elnortelocal,"Jun 19, 2024 · 11:38 PM UTC",local en medio de la tormenta tropical alberto usuarios del transporte público reportan retrasos de más de una hora en el paso de camiones,21,6,6,1,https://twitter.com/elnortelocal/status/1803573191123800565#m,,,,no se relaciona,-0.8399340286850929,-1.286805484443903
@elnortelocal,elnortelocal,"Jun 19, 2024 · 10:03 PM UTC",local las lluvias provocan fallas en semáforos de la calle zaragoza y en sus cruces con colón y reforma sigue la información de las lluvias en el estado aquí,24,9,3,1,https://twitter.com/elnortelocal/status/1803549072877560305#m,,['https://video.twimg.com/ext_tw_video/1803548674892636164/pu/pl/6A0bMQlXblFZv0WL.m3u8?tag=12'],,lluvia,-0.4095611721277237,-1.2375940753147006
@elnortelocal,elnortelocal,"Jun 19, 2024 · 9:20 PM UTC",entérate la avenida josé ángel conchello en monterrey ya sufre los estragos de las lluvias presentadas en la ciudad más información,89,13,5,2,https://twitter.com/elnortelocal/status/1803538475083505722#m,,['https://video.twimg.com/ext_tw_video/1803537202439503873/pu/pl/r09S0Iuzv1YmFx8D.m3u8?tag=12'],,lluvia,-0.1096594631671905,-1.4033310376107693
@elnortelocal,elnortelocal,"Jun 19, 2024 · 8:17 PM UTC",entérate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como monterrey san pedro guadalupe y santa catarina más información,43,6,0,2,https://twitter.com/elnortelocal/status/1803522409548619778#m,,['https://video.twimg.com/ext_tw_video/1803522257832255489/pu/pl/jbmAJSTEyWc40SCX.m3u8?tag=12'],,lluvia,-0.3526221662759781,-1.319946096278727
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 9:27 PM UTC",para la historia quedará alberto que llegó en el momento que más lo necesitaba nuevo león el daño a la infraestructura es un precio pequeño que pagar por la bendición que su agua nos trae,1474,169,15,9,https://twitter.com/LoQuePasaEnNL/status/1804264806192406752#m,['https://pbs.twimg.com/media/GQoJRz7WkAANeck.jpg'],,,no se relaciona,-0.1318517252802848,-0.9931419640779495
@MelRayada,La TIA Ⓜ️ELY Rayada 🇫🇮7️⃣,"Jun 21, 2024 · 6:59 PM UTC",recorrido por la zona de desastre en ave colosio el equipo trabaja a marchas forzadas para restablecer el servicio de agua y luz y remoción de escombro en santacatarina comunidadsanta loquepasaennl nmasmonterrey asiesmonterrey,104,19,14,2,https://twitter.com/MelRayada/status/1804227657489367106#m,,['https://video.twimg.com/amplify_video/1804227539855945729/pl/kjEiWF4SQyeojTxj.m3u8?tag=16'],,inundación,0.1597320139408111,-1.006292149424553
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 7:56 PM UTC",más allá de la ansiada agua alberto nos deja claro a todos la vocación natural del rio santa catarina no se debe construir en sus márgenes menos en su cauce y darle la oportunidad de convertirse en lo que ya estaba logrando un bosque urbano y oasis para la flora y fauna local,708,92,9,6,https://twitter.com/LoQuePasaEnNL/status/1804242022842405213#m,,['https://video.twimg.com/ext_tw_video/1804241990957010944/pu/pl/g55gRGGLdeLzL7v3.m3u8?tag=12'],,inundación,1.2775418758392334,-0.9963073283433914
@daniel_carrillo,Daniel Carrillo Mtz,"Jun 21, 2024 · 5:20 PM UTC",alcaldes siempre puestos para trabajar coordinados no solo en este asunto sino en todos gobernador samuelgarcias de una vez resolvemos los adeudos de la ley de egresos de ya hay agua reiniciemos con voluntad y nuevos horizontes cesarmty joluisgarcia,395,94,82,8,https://twitter.com/daniel_carrillo/status/1804202710574551133#m,,,,no se relaciona,1.1957556903362274,-1.029794842004776
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 5:58 PM UTC",dias históricos para nl pues la tormenta ciclonica alberto le a dado un respiro y vida a toda la región después de los últimos años de escasez del vital liquido en el estado y en general todo méxico los invito a conservar los hábitos que hemos adquirido en el cuidado del agua,792,107,11,4,https://twitter.com/LoQuePasaEnNL/status/1804212250644975773#m,"['https://pbs.twimg.com/media/GQnZewZWoAA7LfU.jpg', 'https://pbs.twimg.com/media/GQnZexcWQAAPPxP.jpg', 'https://pbs.twimg.com/media/GQnZexWX0AAsqxZ.jpg', 'https://pbs.twimg.com/media/GQnZeygXwAAGgml.jpg']",,,no se relaciona,1.37068628706038,-1.2466483116149902
@dreyesmty,Daniel Reyes,"Jun 21, 2024 · 5:11 PM UTC",siete meses después del plazo que marca la constitución samuelgarcias anunció que enviará completo el presupuesto para incluir fondos que ayuden a la reparación de daños de la tormenta alberto,31,20,9,1,https://twitter.com/dreyesmty/status/1804200461123121379#m,['https://pbs.twimg.com/media/GQnOwWfX0AAioij.jpg'],,,inundación,-0.5143754929304123,-1.3394604241475463
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 5:08 PM UTC",arrecia por lapsos la lluvia en el área metropolitana y rural en nl no tengo dudas el cuchillo y cerro prieto alcanzarán niveles mucho mayores que los actuales,97,3,2,0,https://twitter.com/LoQuePasaEnNL/status/1804199777036570772#m,,,,lluvia,-0.1474064290523529,-1.404589356854558
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 3:54 PM UTC",niveles de las presas en nl al momento hoy de junio cuando aún faltan lluvias y escurrimientos presa la boca almacenamiento mm presa cerro prieto almacenamiento mm presa el cuchillo almacenamiento mm alberto,98,13,4,0,https://twitter.com/LoQuePasaEnNL/status/1804181059380359249#m,['https://pbs.twimg.com/media/GQm9HOzWwAAcnf8.jpg'],,,lluvia,-0.0104104578495025,-1.4032825529575348
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 4:35 AM UTC",ahoranl en estos momentos muy fuerte lluvia en avantiguos ejidatarios en la zona de la alianza en monterrey no salgan ni intenten cruzar menos manejar quédense en un lugar seguro loquepasaennl,301,23,4,2,https://twitter.com/LoQuePasaEnNL/status/1804010315488858195#m,,['https://video.twimg.com/ext_tw_video/1804010280948731904/pu/pl/S2kpvIKQRqOn5NPK.m3u8?tag=12'],,lluvia,-1.2777128256857395,-1.4121019542217255
