Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje,municipio,colonia,calle,locacion,GPE,facilidad,geometría,Puntaje_diferencia_0.05
@conagua_mx,Conagua,"Jun 21, 2024 · 2:07 PM UTC",se prevén lluvias puntuales torrenciales en guerrero oaxaca puebla y veracruz en las próximas horas más información en,20,5,0,1,https://twitter.com/conagua_mx/status/1804154097269887474#m,['https://pbs.twimg.com/media/GQmkl1WWIAA63nl.jpg'],,,lluvia,-0.4300583451986313,,[],[],['oaxaca puebla'],[],[],,-1.3905547074973583
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",las extracciones están siendo canalizadas a través del río san juan a la presa el cuchillo aunque no hay riesgo para la población aguas abajo se hace un llamado a extremar precauciones y atender las indicaciones de las autoridades locales y de proteccióncivil,22,6,0,0,https://twitter.com/conagua_mx/status/1803980950629429683#m,,,,no se relaciona,0.0792016834020614,[],[],[],['río san juan a'],[],['presa el cuchillo'],,-1.133337825536728
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las h se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,159,30,1,2,https://twitter.com/conagua_mx/status/1803980948914012667#m,,['https://video.twimg.com/ext_tw_video/1803980909273624578/pu/pl/eF9GKfL-epglWvJc.m3u8?tag=12'],,lluvia,-0.3753650337457657,[],[],[],[],[],['presa la boca'],,-1.3893937021493912
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",además se prevén lluvias intensas en durango guanajuato hidalgo nayarit querétaro y zacatecas muy fuertes en aguascalientes campeche chihuahua colima guerrero jalisco michoacán quintana roo y sinaloa así como fuertes en yucatán,12,5,1,0,https://twitter.com/GermanMSantoyo/status/1803964012696043834#m,,,,lluvia,-0.1745737642049789,,[],[],[],[],[],,-1.3719058530405164
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",aunque alberto ya se disipó es preciso no bajar la guardia porque sus remanentes siguen provocando lluvias considerables el smnmx informa que durante esta noche y madrugada habrá lluvias torrenciales en chiapas coahuila nl oax pue slp tamaulipas y veracruz,120,25,3,1,https://twitter.com/GermanMSantoyo/status/1803964010968015285#m,['https://pbs.twimg.com/media/GQj3tMsXUAAT5E_.jpg'],,,lluvia,-0.9274317361414433,,[],[],[],['nl'],[],,-1.3998966552317142
@conagua_mx,Conagua,"Jun 21, 2024 · 1:16 AM UTC",se pronostican lluvias torrenciales para coahuila nuevoleón oaxaca puebla sanluispotosí tamaulipas y veracruz más información en,19,6,0,0,https://twitter.com/conagua_mx/status/1803960266834743694#m,['https://pbs.twimg.com/media/GQj0SajakAY6SZ7.jpg'],,,lluvia,-0.299124076962471,,[],[],['oaxaca'],['nuevoleón'],[],,-1.4096021912992
@conagua_mx,Conagua,"Jun 21, 2024 · 1:15 AM UTC",como medida preventiva ante las lluvias que genera la bajapresión remanente de alberto a las hrs se incrementó la extracción en la presa la boca pasando de ms a ms por vertedor controlado actualmente tiene un de llenado con ingresos de ms,22,3,1,0,https://twitter.com/conagua_mx/status/1803959774230515780#m,,,,lluvia,0.0778673589229583,[],[],[],[],[],['presa la boca'],,-1.3946770764887333
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",las extracciones en la presa la boca son canalizadas a través del río san juan a la presa el cuchillo aunque no hay riesgo para la población aguas abajo se hace un llamado a extremar precauciones y atender las indicaciones de las autoridades locales y de proteccióncivil,12,1,1,0,https://twitter.com/conagua_mx/status/1803921800876961936#m,,,,inundación,0.143234297633171,[],[],[],['río san juan a'],[],"['presa la boca', 'presa el cuchillo']",,-1.1214321553707123
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las horas se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,48,9,1,0,https://twitter.com/conagua_mx/status/1803921797953524066#m,['https://pbs.twimg.com/media/GQjRS9takAEOzbD.jpg'],,,lluvia,-0.1931569576263427,[],[],[],[],[],['presa la boca'],,-1.3917695432901382
@conagua_mx,Conagua,"Jun 20, 2024 · 10:02 PM UTC",avisometrorológico alberto ahora bajapresión remanente genera lluvias torrenciales en siete entidades más información en,16,4,1,0,https://twitter.com/conagua_mx/status/1803911387460018625#m,['https://pbs.twimg.com/media/GQjH139XEAA24lk.jpg'],,,lluvia,-1.327282331883907,[],[],[],[],[],[],,-1.404294639825821
@conagua_mx,Conagua,"Jun 20, 2024 · 7:37 PM UTC",no se esperan afectaciones aguas abajo derivadas de dicha maniobra sin embargo se mantiene estrecha coordinación con las autoridades locales y de proteccióncivil,24,6,1,0,https://twitter.com/conagua_mx/status/1803874788693414050#m,"['https://pbs.twimg.com/media/GQimjhLWUAEHoMJ.jpg', 'https://pbs.twimg.com/media/GQimjiiWIAAzFiR.jpg']",,,no se relaciona,-0.1950906589627266,[],[],[],[],[],[],,-1.1416909225285052
@conagua_mx,Conagua,"Jun 20, 2024 · 6:00 PM UTC",comunicado el gobiernomx ha fortalecido el acceso de la población a su derecho humano al agua más información en,17,8,0,0,https://twitter.com/conagua_mx/status/1803850350157533348#m,['https://pbs.twimg.com/media/GQiQVHhakAYH_25.jpg'],,,no se relaciona,0.928266029804945,,[],[],[],[],[],,-1.0737287998199463
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",en el transcurso del día de hoy quede restablecida la entrega de agua potable en bloque a la zmvm en todo momento el ocavm estuvo en coordinación con los organismos operadores de la cdmx y el edomex para afectar lo menos posible a la población,15,1,0,0,https://twitter.com/conagua_mx/status/1803807452846071884#m,['https://pbs.twimg.com/media/GQhpUeMXgAAv_t-.jpg'],,,inundación,0.6377687752246857,,[],[],[],[],[],,-0.9592554718255997
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",la reparación y cambio de la infraestructura dañada inició a las hrs del miércoles y concluyeron a las hrs luego de lo cual se llevaron a cabo maniobras para iniciar el llenado paulatino del acueducto que conduce agua potable hacia la cdmx y el edomex,16,3,2,0,https://twitter.com/conagua_mx/status/1803807446999122026#m,"['https://pbs.twimg.com/media/GQhpUCuXsAEOGEr.jpg', 'https://pbs.twimg.com/media/GQhpUDUXsAEzXLP.jpg']",,,no se relaciona,-1.082469716668129,,[],[],[],[],[],,-0.994073323905468
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",con personal y equipo especializado el organismo de cuenca aguas del valledeméxico de la conaguamx concluyó de forma anticipada a lo inicialmente previsto las reparaciones de la fuga presentada en la planta de bombeo número del sistema cutzamala,60,24,3,1,https://twitter.com/conagua_mx/status/1803807439608758281#m,['https://pbs.twimg.com/media/GQhpPM9WMAI63Op.jpg'],,,inundación,0.9337914884090424,,[],[],[],[],[],,-1.0308929085731506
@conagua_mx,Conagua,"Jun 20, 2024 · 1:32 PM UTC",comunicado antes de lo programado se concluye reparación de fuga en la planta de bombeo del sistema cutzamala más información en,64,24,5,1,https://twitter.com/conagua_mx/status/1803782864611238096#m,['https://pbs.twimg.com/media/GQhS9NIWEAA8q2c.jpg'],,,inundación,-0.7265093475580215,,[],[],[],[],[],,-1.0426661521196365
@conagua_mx,Conagua,"Jun 20, 2024 · 12:04 PM UTC",avisometeorológico alberto se ubica muy próximo a las costas de tamaulipas y veracruz y ocasiona lluvias en gran parte de méxico más información en,26,6,0,0,https://twitter.com/conagua_mx/status/1803760724994351602#m,['https://pbs.twimg.com/media/GQg-0jHWcAAWJRU.jpg'],,,lluvia,-0.0207864642143249,,[],[],[],[],[],,-1.383421316742897
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 1:22 AM UTC",su amplia circulación produce lluvias extraordinarias en nuevo león tamaulipas san luis potosí veracruz hidalgo y puebla lluvias torrenciales en coahuila lluvias intensas en zacatecas querétaro oaxaca chiapas tabasco campeche y quintana roo,6,4,1,0,https://twitter.com/GermanMSantoyo/status/1803599163944247541#m,,,,lluvia,-0.2983250617980957,,[],[],[],['nuevo león'],[],,-1.3830948416143656
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 19, 2024 · 9:45 PM UTC",debido al paso de la tormentatropical alberto se pronostican lluvias y vientos importantes en campeche chiapas coahuila guanajuato hidalgo nuevo león oaxaca puebla querétaro quintana roo san luis potosí tabasco tamaulipas veracruz y yucatán,46,31,1,0,https://twitter.com/GermanMSantoyo/status/1803544680493166846#m,['https://pbs.twimg.com/media/GQd6U7tasAAt89c.jpg'],,,lluvia,-0.262672558426857,,[],[],"['oaxaca', 'roo san luis potosí tabasco']",['nuevo león'],[],,-1.2568440698087215
@conagua_mx,Conagua,"Jun 19, 2024 · 8:40 PM UTC",comunicado ante paso del ciclón alberto es necesario extremar precauciones por lluvia viento y oleaje gobiernomx más información en,7,2,0,0,https://twitter.com/conagua_mx/status/1803528285017743607#m,['https://pbs.twimg.com/media/GQdrYX2a0AAMPiw.jpg'],,,lluvia,-0.1339389681816101,,[],[],[],[],[],,-1.2382262758910656
@elnortelocal,elnortelocal,"Jun 21, 2024 · 11:37 PM UTC",local la tormenta alberto dejó una estampa impresionante de la corriente en el río santacatarina en nl ve el antes y el después de sus efectos,3,4,0,0,https://twitter.com/elnortelocal/status/1804297618865914027#m,,,,inundación,0.7259303480386734,[],[],[],['río santacatarina'],['nl'],[],,-1.270152486860752
@elnortelocal,elnortelocal,"Jun 21, 2024 · 7:28 PM UTC",local conagua vigila una zona de baja presión en el golfo con potencial para desarrollo ciclónico que traerá lluvias a partir del domingo a nl,20,10,1,1,https://twitter.com/elnortelocal/status/1804234944123932795#m,,,,lluvia,0.4820108041167259,[],[],[],['golfo con potencial para desarrollo ciclónico que traerá lluvias a partir del domingo a nl'],[],[],,-1.3443112168461084
@elnortelocal,elnortelocal,"Jun 21, 2024 · 5:42 PM UTC",entérate sectores aledaños a la presa libertad sufren inundaciones generadas por los escurrimientos de las lluvias acumuladas en linares más información en,44,11,0,0,https://twitter.com/elnortelocal/status/1804208385442607331#m,,['https://video.twimg.com/ext_tw_video/1804208357596663808/pu/pl/DhgOaA3w9DpIIBK9.m3u8?tag=12'],,inundación,-1.1581644862890244,,[],[],[],[],['presa libertad'],,-1.4419345818459988
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:50 PM UTC",entérate tras las lluvias de alberto el gobernador samuel garcía se compromete a arrancar el lunes la reconstrucción de los daños en el par vial,8,1,2,0,https://twitter.com/elnortelocal/status/1804195172462522809#m,,,,lluvia,0.2675295025110245,[],[],[],[],[],[],,-1.3927829153835773
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:49 PM UTC",entérate toneladas de escombro y basura sepultan la avenida luis donaldo colosio en santa catarina tras escurrimientos por la tormenta alberto,6,2,1,0,https://twitter.com/elnortelocal/status/1804195016228901325#m,,,,inundación,-1.238953746855259,Santa Catarina,[],,[],[],[],,-1.2836247868835926
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:48 PM UTC",entérate la conagua reporta que algunas estaciones de medición alcanzan los milímetros de agua tras las lluvias de la tormenta alberto en nl,24,5,0,0,https://twitter.com/elnortelocal/status/1804194744689479787#m,,,,lluvia,-0.9051626026630402,[],[],[],[],['nl'],[],,-1.3905228897929192
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:50 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,15,2,5,0,https://twitter.com/elnortelocal/status/1804164890686337412#m,,,,inundación,-0.9468614608049392,[],[],[],[],[],[],,-1.0419159084558487
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:36 PM UTC",local la tormenta alberto ya impacta en recarga de presas de nl y en algunos daños que no fueron similares a los causados por otros fenómenos más información en,16,2,0,1,https://twitter.com/elnortelocal/status/1804161377080139789#m,,,,no se relaciona,-0.0819204151630401,[],[],[],[],['nl'],[],,-1.4095432050526142
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:34 PM UTC",local luego de su peor nivel en años las presas que abastecen a la ciudad suben su almacenamiento en conjunto con lluvias de alberto más información en,3,1,0,0,https://twitter.com/elnortelocal/status/1804161032232780003#m,,,,lluvia,-0.642053946852684,[],[],[],[],[],[],,-1.3858708441257477
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:58 AM UTC",local la tormenta alberto provoca deslaves que paralizan la autopista y la carretera libre de monterrey a saltillo y causan filas kilométricas,10,1,0,0,https://twitter.com/elnortelocal/status/1803985907457888501#m,,,,inundación,-1.4992207810282707,Monterrey,[],[],[],[],['carretera libre'],,-1.3220581710338593
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC",local conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas tras degradación de alberto,77,25,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,,,lluvia,-1.0465852953493595,[],[],[],[],[],[],,-1.2956966565301022
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC",entérate la sierra de santiago es impactada por lluvias de la tormenta alberto que dejó deslaves e inundaciones la cola de caballo se desborda más información en,74,16,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/pl/u5u8-S8iUBWsa1-e.m3u8?tag=12'],,inundación,-1.161274567246437,[],[],Calle Caballo,[],[],[],,-1.3382265912368894
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:34 PM UTC",entérate la fuerza de los afluentes de agua en el parque la huasteca tras las lluvias por alberto rompen la carretera a la presa rompepicos más información en federico padilla,266,60,2,0,https://twitter.com/elnortelocal/status/1803934448070598743#m,,['https://video.twimg.com/ext_tw_video/1803934404856684544/pu/pl/U7O_AJMksi_z5yAl.m3u8?tag=12'],,lluvia,-1.1401219479739666,[],[],[],['parque la huasteca'],[],['presa rompepicos'],,-1.3909921310842037
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:01 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,31,9,5,2,https://twitter.com/elnortelocal/status/1803926224013512758#m,,,,inundación,-0.9468614608049392,[],[],[],[],[],[],,-1.0419159084558487
@elnortelocal,elnortelocal,"Jun 20, 2024 · 9:32 PM UTC",local conagua inicia con desfogue del embalse para liberar espacio en la presa la boca para que capte más escurrimientos de la tormenta alberto más información en,589,65,6,1,https://twitter.com/elnortelocal/status/1803903688466932173#m,,['https://video.twimg.com/ext_tw_video/1803903624625389568/pu/pl/aZfnxM5AbfmsmKER.m3u8?tag=12'],,no se relaciona,0.0125597268342971,[],[],[],[],[],['presa la boca'],,-1.264309473335743
