Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Puntaje,colonia,calle,municipio,REGION,geometría,label,eléctrico,incendio,inundación,lluvia,no se relaciona,problema vial
@pc_mty,Protección Civil Monterrey,"Sep 5, 2024 · 10:07 PM UTC",en este momento atendemos reporte de incendio em negocio abandonado en el lugar se consumen residuos y basura no se reportan personas lesionadas los hechos se presentaron en la avenida colon y venustiano carranza en la colonia talleres,incendio,10,2,0,0,https://twitter.com/pc_mty/status/1831816402698997967#m,,['https://video.twimg.com/ext_tw_video/1831816389599903744/pu/pl/NeB05yI3TGHfSSOw.m3u8?tag=12'],,-1.787415307,TALLERES,"Colón, Avenida Venustiano Carranza",,,"POLYGON Z ((-100.33969000019323 25.68906000001914 0, -100.33965000014723 25.689420000432847 0, -100.33961000010129 25.68986000003912 0, -100.33955999959414 25.690259999599448 0, -100.33948000040152 25.69076000017401 0, -100.33942000033261 25.691119999688397 0, -100.33940999987146 25.691210000241483 0, -100.33928999973352 25.692090000353403 0, -100.33833000042904 25.69199000023849 0, -100.33821999985298 25.692839999866237 0, -100.33817000024516 25.6931899998188 0, -100.33811999973807 25.69371000041633 0, -100.33712000038759 25.693590000278448 0, -100.33700999981147 25.694479999952193 0, -100.33608000009178 25.694390000298426 0, -100.3351399999109 25.694270000160543 0, -100.33384000021567 25.694139999561514 0, -100.33390000028464 25.69369000039336 0, -100.33394999989241 25.693260000348914 0, -100.33386999980053 25.692930000419324 0, -100.33372000007779 25.692699999705383 0, -100.3334300001942 25.69230999970688 0, -100.33253999962113 25.692220000053112 0, -100.33265999975902 25.691359999964163 0, -100.33261999971307 25.690989999988687 0, -100.3327900003581 25.68959999974038 0, -100.33183000015424 25.689470000040615 0, -100.33107999974203 25.689380000386848 0, -100.33060999965159 25.68975000036238 0, -100.33023000011428 25.689900000085117 0, -100.33008000039155 25.689819999993176 0, -100.32990999974652 25.689840000016147 0, -100.33012000043755 25.687919999608482 0, -100.33015000002234 25.68752999960998 0, -100.33017000004531 25.68743999995621 0, -100.33027000016023 25.687319999818328 0, -100.3302900001832 25.687119999588447 0, -100.3303300002292 25.68669000044332 0, -100.33043999990593 25.685879999962197 0, -100.3313600000638 25.685989999638934 0, -100.33234000029063 25.686089999753847 0, -100.33324000042552 25.68618999986876 0, -100.33427000026018 25.686300000444817 0, -100.33522000000283 25.68639999966041 0, -100.33618999976852 25.686510000236467 0, -100.33712000038759 25.68661000035138 0, -100.33809999971504 25.686700000005146 0, -100.33895999980399 25.686780000097087 0, -100.3401000002147 25.686880000212 0, -100.33967999973203 25.68706999998068 0, -100.33944000035558 25.68727999977233 0, -100.33975999982397 25.687270000210503 0, -100.33989999998488 25.687319999818328 0, -100.33994000003082 25.687399999910213 0, -100.33977000028511 25.68865999955949 0, -100.33969000019323 25.68906000001914 0))",1,0.0219391081482172,0.8707801103591919,0.010608525946736336,0.0079274233430624,0.02774447575211525,0.06100032851099968
@DarkKnightMty,DarkKnightMty,"Sep 7, 2024 · 12:28 PM UTC",dos accidentes terribles en carretera laredo dirección norte esta mañana de sábado lesionados trasladados al hospital de sabinas hidalgo del imss cuidado al manejar por pavimento mojado monterrey mexico,problema vial,13,3,4,1,https://twitter.com/DarkKnightMty/status/1832395425565045153#m,"['https://pbs.twimg.com/media/GW357LQXoAA_ITN.jpg', 'https://pbs.twimg.com/media/GW357V4W8AAsEcI.jpg']",,,-1.787140683,,,Monterrey,,,5,0.030060499906539917,0.022656932473182678,0.018434975296258926,0.017717700451612473,0.023031825199723244,0.8880981206893921
@ABCNoticiasMX,ABCNoticias.mx,"Sep 7, 2024 · 4:25 PM UTC",el reporte de un incendio al interior del corralón grúas interestatales en el municipio de salinas victoria durante la madrugada de este sábado consumió ocho vehículos en su totalidad pcnl,incendio,0,0,0,0,https://twitter.com/ABCNoticiasMX/status/1832455273996272067#m,"['https://pbs.twimg.com/media/GW4vtjjXwAAt7K6.jpg', 'https://pbs.twimg.com/media/GW4vtjpX0AE86Hr.jpg', 'https://pbs.twimg.com/media/GW4vtjfWUAAS2sC.jpg']",,,-1.784577442,,,,,,1,0.02017553709447384,0.8925272822380066,0.013237475417554379,0.008348301984369755,0.027367783710360527,0.038343679159879684
@info7mty,INFO7,"Sep 7, 2024 · 8:47 PM UTC",tragedia en monterrey mujer fallece tras ser atropellada por un camión en la colonia unidad modelo el conductor fue detenido info accidente monterrey,problema vial,4,0,0,0,https://twitter.com/info7mty/status/1832521163156627804#m,,,,-1.784038058,UNIDAD MODELO,,"Monterrey, Monterrey",,"POLYGON Z ((-100.35110999982646 25.73823999987627 0, -100.35081999994287 25.737880000361884 0, -100.3503800003366 25.737190000018643 0, -100.35020000012975 25.736909999696877 0, -100.34997999987695 25.736559999744372 0, -100.35014999962266 25.73645999962946 0, -100.35047999955219 25.736280000321926 0, -100.35085999998887 25.736089999653927 0, -100.35110000026464 25.73595999995422 0, -100.35124000042555 25.73589999988525 0, -100.35159999993988 25.735719999678395 0, -100.35194000033061 25.73554000037086 0, -100.35227999982197 25.735349999702862 0, -100.35264000023568 25.735150000372357 0, -100.3529100000963 25.735010000211503 0, -100.35301000021121 25.734950000142533 0, -100.35328000007178 25.734800000419852 0, -100.35334999970257 25.73476000037391 0, -100.35379999977005 25.734520000098087 0, -100.35424000027564 25.734270000260494 0, -100.35558999957868 25.7333770004484 0, -100.35580899978538 25.733619999963196 0, -100.35612499996864 25.73423699963797 0, -100.35646400031322 25.734583000305406 0, -100.35686299982746 25.73491600037329 0, -100.35669500017394 25.73558299965589 0, -100.35615000022216 25.736160000184043 0, -100.35578000024668 25.73645999962946 0, -100.3562999999449 25.736969999765847 0, -100.35687000015025 25.737519999948177 0, -100.35796999961565 25.738609999851803 0, -100.35798999963862 25.73866000035889 0, -100.35826999996038 25.738939999781337 0, -100.35861000035106 25.73922999966493 0, -100.35974999986246 25.740350000052615 0, -100.36030999960667 25.74088000021203 0, -100.36142000043253 25.741979999677426 0, -100.36202000022269 25.742569999905754 0, -100.36313999971105 25.743619999763325 0, -100.36337999998688 25.743849999578003 0, -100.36305000005729 25.7440699998308 0, -100.36264000003581 25.74433999969142 0, -100.3622500000373 25.74459000042833 0, -100.36190999964663 25.744800000219982 0, -100.36159000017824 25.744999999550487 0, -100.36145999957915 25.745079999642428 0, -100.36128000027162 25.74519999978031 0, -100.36108999960362 25.745330000379397 0, -100.36095999990391 25.74540999957196 0, -100.36071000006632 25.745589999778815 0, -100.36062000041255 25.745649999847785 0, -100.36032999962964 25.745839999616464 0, -100.36028999958364 25.745879999662407 0, -100.35997000011525 25.746090000353377 0, -100.35968000023166 25.746380000236968 0, -100.35958999967858 25.746469999890735 0, -100.35857999986695 25.745540000171047 0, -100.35812000023765 25.7450999996654 0, -100.35792999956965 25.74490999989672 0, -100.3571499995727 25.744129999899712 0, -100.35685000012728 25.743849999578003 0, -100.35625999989895 25.743300000294937 0, -100.35613999976101 25.74316999969591 0, -100.35547000034012 25.742489999813813 0, -100.35512999994938 25.74213999986125 0, -100.35457000020517 25.741540000071097 0, -100.35369999965513 25.740729999589973 0, -100.35344000025566 25.740519999798323 0, -100.35315000037207 25.740249999937703 0, -100.35283000000436 25.739949999592966 0, -100.35233000032912 25.73950000042487 0, -100.35172000007782 25.738890000173512 0, -100.35110999982646 25.73823999987627 0))",5,0.027097946032881737,0.035446252673864365,0.010224690660834312,0.013811562210321426,0.024119606241583824,0.8892999291419983
@info7mty,INFO7,"Jun 20, 2024 · 8:38 PM UTC",derriba alberto marquesina en un supermercado ubicado en la estanzuela al sur de monterrey cae estructura sobre dos vehículos no se reportan lesionados,no se relaciona,43,6,2,0,https://twitter.com/info7mty/status/1803890298893803696#m,,['https://video.twimg.com/ext_tw_video/1803890117251092480/pu/pl/qvzt_6MDlWIPAH5b.m3u8?tag=12'],,-1.783611245,,,,sur de monterrey,,4,0.018372386693954468,0.03372296318411827,0.025806622579693794,0.028772074729204178,0.758368968963623,0.13495700061321259
@ABCNoticiasMX,ABCNoticias.mx,"Sep 5, 2024 · 2:11 AM UTC",entérate no puedes abrir la banca hsbc usuarios reportan fallas,eléctrico,13,3,0,0,https://twitter.com/ABCNoticiasMX/status/1831515497013137661#m,['https://pbs.twimg.com/media/GWrZn_PWMAAzRaH.jpg'],,,-1.77922569,,,,,,0,0.2624491751194,0.0460430383682251,0.060997944325208664,0.023792751133441925,0.5432687401771545,0.06344831734895706
@gamavisionmx,Gamavisión Noticias,"Sep 4, 2024 · 10:40 PM UTC",último minuto se colapasa techo en el centro comercial aurigasanpedro debido a las fuertes lluvias se reportan heridos y la autoridades de protección civil de sanpedroggnl estan desalojando la plaza,lluvia,1993,309,40,40,https://twitter.com/gamavisionmx/status/1831462270326731013#m,,['https://video.twimg.com/ext_tw_video/1831462210679312384/pu/pl/fhwMDJ4u65XvSH3i.m3u8?tag=12'],,-1.776300863,,,,centro comercial aurigasanpedro,,3,0.010064574889838696,0.003114329418167472,0.007256078999489546,0.972032904624939,0.0036978390999138355,0.003834314411506057
@elnortelocal,elnortelocal,"Sep 2, 2024 · 4:27 PM UTC",entérate apagón que se registra esta mañana en un sector del centro de monterrey deja negocios sin luz y semáforos apagados en plena hora pico,eléctrico,3,0,0,0,https://twitter.com/elnortelocal/status/1830643776416571543#m,,,,-1.774380193,CENTRO DE MONTERREY,,,,,0,0.9141738414764404,0.027456009760499,0.014333567582070827,0.012419880367815495,0.015577202662825584,0.016039468348026276
@IdentidadNL,Identidad Nuevo León,"Jun 7, 2024 · 5:17 AM UTC",sacude tromba a monterrey y área metropolitana inundaciones árboles caídos postes derribados y muchos sectores sin luz fue el saldo de una tromba que azotó monterrey lluvia tromba pcnuevoleon pcmty sanpedro identidaanlcom mtyfollow,eléctrico,8,5,0,0,https://twitter.com/IdentidadNL/status/1798947260941910434#m,,['https://video.twimg.com/ext_tw_video/1798947179333312513/pu/pl/DXWC8x9qV-VCzcIL.m3u8?tag=12'],,-1.768906837,,,"Monterrey, Monterrey",área metropolitana,,0,0.05832434818148613,0.010180794633924961,0.5981609225273132,0.2987750768661499,0.02124069817364216,0.013318081386387348
@Victorpdlg981,Victor Pedraza,"Feb 9, 2024 · 11:22 PM UTC",bomberosnl no duerme nuevoleón monterrey bomberos incendio,incendio,16,2,0,0,https://twitter.com/Victorpdlg981/status/1756096249411801121#m,,['https://video.twimg.com/ext_tw_video/1756096153173553152/pu/pl/p-QdOsynR8Yw3fCm.m3u8?tag=12'],,-1.767432839,,,Monterrey,,,1,0.020604442805051804,0.9024022817611694,0.01248357817530632,0.007680223323404789,0.027563802897930145,0.02926567941904068
@info7mty,INFO7,"Jun 21, 2024 · 12:45 PM UTC",árbol derribado deja sin luz a vecinos en la colonia las torres al sur de monterrey,eléctrico,41,7,0,0,https://twitter.com/info7mty/status/1804133512267645203#m,,['https://video.twimg.com/ext_tw_video/1804133480630034433/pu/vid/avc1/1280x720/-hgm7H_LngUDehUz.mp4?tag=12'],,-1.767108273,,,Monterrey,,,0,0.7117271423339844,0.030620696023106575,0.04874899610877037,0.017772020772099495,0.13577058911323547,0.055360499769449234
@info7mty,INFO7,"Jun 21, 2024 · 12:45 PM UTC",árbol derribado deja sin luz a vecinos en la colonia las torres al sur de monterrey,eléctrico,34,7,0,0,https://twitter.com/info7mty/status/1804133512267645203#m,,['https://video.twimg.com/ext_tw_video/1804133480630034433/pu/pl/-E5NKfluXagcs9N-.m3u8?tag=12'],,-1.767108273,,,Monterrey,,,0,0.7117271423339844,0.030620696023106575,0.04874899610877037,0.017772020772099495,0.13577058911323547,0.055360499769449234
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 8, 2024 · 6:41 PM UTC",vecinos de cortijo del río reportan su tercer día sin energía después del incendio en un transformador que dejó sin energía a una gran cantidad de vividendas del sector piden desesperadamente que cfecontigo les resuelva no les dan respuesta mtygob nmasmonterrey nelvaldez,incendio,55,18,9,0,https://twitter.com/AtentosMTYSur/status/1799512179260989912#m,['https://pbs.twimg.com/media/GPkmynwaYAAgjdY.jpg'],,,-1.764090411,,,,,,1,0.7198988199234009,0.20066289603710175,0.013382800854742527,0.01375937182456255,0.01622130163013935,0.036074839532375336
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 8, 2024 · 6:41 PM UTC",vecinos de cortijo del río reportan su tercer día sin energía después del incendio en un transformador que dejó sin energía a una gran cantidad de vividendas del sector piden desesperadamente que cfecontigo les resuelva no les dan respuesta mtygob nmasmonterrey nelvaldez,incendio,57,17,9,0,https://twitter.com/AtentosMTYSur/status/1799512179260989912#m,['https://pbs.twimg.com/media/GPkmynwaYAAgjdY.jpg'],,,-1.764090411,,,,,,1,0.7198988199234009,0.20066289603710175,0.013382800854742527,0.01375937182456255,0.01622130163013935,0.036074839532375336
@IdentidadNL,Identidad Nuevo León,"Jun 18, 2024 · 4:27 PM UTC",inseguridad asesinan a agente de tránsito en pesquería mientras hacía sus funciones matutinas un auto versa color gris se acercó y abrió fuego contra el oficial con un arma larga dejándolo tendido sobre el asfalto mtyfollow pesqueria qepd identidadnlcom,incendio,0,2,0,0,https://twitter.com/IdentidadNL/status/1803102331350687981#m,['https://pbs.twimg.com/media/GQXnmphW8AEv6y_.jpg'],,,-1.760520484,,,,,,1,0.07992028445005417,0.09455675631761551,0.009048126637935638,0.023446258157491684,0.1857096552848816,0.6073188781738281
@nmasmonterrey,N+ Monterrey,"Jun 19, 2024 · 12:51 PM UTC",muere hombre en aparatoso choque en gonzalitos a través de nmas,problema vial,4,2,0,0,https://twitter.com/nmasmonterrey/status/1803410330845909367#m,,,,-1.749763812,,,,nmas,,5,0.015694262459874153,0.017903458327054977,0.02203347533941269,0.02195686101913452,0.8502804040908813,0.07213153690099716
@camion_desde,🚍Desde El Camión🚏,"Sep 4, 2024 · 9:09 PM UTC",lamentablemente este domingo un compañero tuvo la mala fortuna de pegarle a otra unidad de ruta dónde si hubo lesionados nada grave ni para hospitalización según reportan,no se relaciona,5,0,0,0,https://twitter.com/camion_desde/status/1831439496484942029#m,['https://pbs.twimg.com/media/GWqUhDFWoAAQ7Sa.jpg'],,,-1.74972667,,,,,,4,0.012290632352232933,0.016102632507681847,0.02101903408765793,0.02358860708773136,0.8746775984764099,0.05232154205441475
@IdentidadNL,Identidad Nuevo León,"Sep 4, 2024 · 11:33 PM UTC",colapsa techo de cristal en san pedro y lesiona a personas el accidente ocurrió en plazaauriga en san agustín pcnuevoleon mtyfollow identidadnlcom,problema vial,3,0,0,0,https://twitter.com/IdentidadNL/status/1831475602811126252#m,,['https://video.twimg.com/ext_tw_video/1831475553498509312/pu/pl/_ae0q5xaB876JsZf.m3u8?tag=12'],,-1.74268774,,,San Pedro Garza García,,,5,0.026826173067092896,0.022139355540275574,0.014895191416144371,0.012477127835154533,0.030312731862068176,0.8933494091033936
@revistacodigo21,Jesús Rubén Peña,"Jun 21, 2024 · 3:21 AM UTC",se elevó a cifra de muertos por remanentes de tormenta alberto en nuevo león habitantes de cadereyta captaron en video cuerpo de hombre arrastrado por corriente de río san juan y movilizaron a policías hasta av capitán alonso de león río es afluente de presa el cuchillo,lluvia,99,41,4,2,https://twitter.com/revistacodigo21/status/1803991674705650030#m,,['https://video.twimg.com/ext_tw_video/1803991619294601216/pu/vid/avc1/360x480/L-lOTCCcgylFzwFu.mp4?tag=12'],,-1.735918631,,,,,,3,0.011227994225919247,0.0030105914920568466,0.011308137327432632,0.966417133808136,0.004599325824528933,0.003436804749071598
@revistacodigo21,Jesús Rubén Peña,"Jun 21, 2024 · 3:21 AM UTC",se elevó a cifra de muertos por remanentes de tormenta alberto en nuevo león habitantes de cadereyta captaron en video cuerpo de hombre arrastrado por corriente de río san juan y movilizaron a policías hasta av capitán alonso de león río es afluente de presa el cuchillo,lluvia,99,41,4,2,https://twitter.com/revistacodigo21/status/1803991674705650030#m,,['https://video.twimg.com/ext_tw_video/1803991619294601216/pu/pl/dPM_u5ClOXY1DJ-S.m3u8?tag=12'],,-1.735918631,,,,,,3,0.011227994225919247,0.0030105914920568466,0.011308137327432632,0.966417133808136,0.004599325824528933,0.003436804749071598
@revistacodigo21,Jesús Rubén Peña,"Jun 21, 2024 · 3:21 AM UTC",se elevó a cifra de muertos por remanentes de tormenta alberto en nuevo león habitantes de cadereyta captaron en video cuerpo de hombre arrastrado por corriente de río san juan y movilizaron a policías hasta av capitán alonso de león río es afluente de presa el cuchillo,lluvia,153,57,6,2,https://twitter.com/revistacodigo21/status/1803991674705650030#m,,['https://video.twimg.com/ext_tw_video/1803991619294601216/pu/pl/dPM_u5ClOXY1DJ-S.m3u8?tag=12'],,-1.735918631,,,,,,3,0.011227994225919247,0.0030105914920568466,0.011308137327432632,0.966417133808136,0.004599325824528933,0.003436804749071598
@revistacodigo21,Jesús Rubén Peña,"Jun 21, 2024 · 3:21 AM UTC",se elevó a cifra de muertos por remanentes de tormenta alberto en nuevo león habitantes de cadereyta captaron en video cuerpo de hombre arrastrado por corriente de río san juan y movilizaron a policías hasta av capitán alonso de león río es afluente de presa el cuchillo,lluvia,153,57,6,2,https://twitter.com/revistacodigo21/status/1803991674705650030#m,,['https://video.twimg.com/ext_tw_video/1803991619294601216/pu/vid/avc1/360x480/L-lOTCCcgylFzwFu.mp4?tag=12'],,-1.735918631,,,,,,3,0.011227994225919247,0.0030105914920568466,0.011308137327432632,0.966417133808136,0.004599325824528933,0.003436804749071598
@revistacodigo21,Jesús Rubén Peña,"Jun 21, 2024 · 3:21 AM UTC",se elevó a cifra de muertos por remanentes de tormenta alberto en nuevo león habitantes de cadereyta captaron en video cuerpo de hombre arrastrado por corriente de río san juan y movilizaron a policías hasta av capitán alonso de león río es afluente de presa el cuchillo,lluvia,144,56,6,2,https://twitter.com/revistacodigo21/status/1803991674705650030#m,,['https://video.twimg.com/ext_tw_video/1803991619294601216/pu/pl/dPM_u5ClOXY1DJ-S.m3u8?tag=12'],,-1.735918631,,,,,,3,0.011227994225919247,0.0030105914920568466,0.011308137327432632,0.966417133808136,0.004599325824528933,0.003436804749071598
@revistacodigo21,Jesús Rubén Peña,"Jun 21, 2024 · 3:21 AM UTC",se elevó a cifra de muertos por remanentes de tormenta alberto en nuevo león habitantes de cadereyta captaron en video cuerpo de hombre arrastrado por corriente de río san juan y movilizaron a policías hasta av capitán alonso de león río es afluente de presa el cuchillo,lluvia,144,56,6,2,https://twitter.com/revistacodigo21/status/1803991674705650030#m,,['https://video.twimg.com/ext_tw_video/1803991619294601216/pu/vid/avc1/360x480/L-lOTCCcgylFzwFu.mp4?tag=12'],,-1.735918631,,,,,,3,0.011227994225919247,0.0030105914920568466,0.011308137327432632,0.966417133808136,0.004599325824528933,0.003436804749071598
@info7mty,INFO7,"Sep 8, 2024 · 2:32 AM UTC",una explosión en la refinería de salina cruz oaxaca provocó un incendio descontrolado causando pánico y problemas de salud entre los habitantes cercanos,incendio,12,3,1,0,https://twitter.com/info7mty/status/1832608003494752545#m,,,,-1.731542818,,,,,,1,0.046904221177101135,0.7073351144790649,0.010707206092774868,0.01998460851609707,0.031479306519031525,0.18358951807022095
@contactonews1,contacto.news,"Sep 4, 2024 · 6:47 PM UTC",cuatro muertos y otros gravemente heridos tras un tiroteo masivo en la escuela secundaria apalachee en el condado de barrow georgia estados unidos el sospechoso del tiroteo se encuentra ahora bajo custodia policial,no se relaciona,389,108,12,16,https://twitter.com/contactonews1/status/1831403689904603500#m,['https://pbs.twimg.com/media/GWpz63lWcAAf9m0.jpg'],,,-1.730527445,,,,condado de barrow,,4,0.023532141000032425,0.013450486585497856,0.060720108449459076,0.02464042231440544,0.839947521686554,0.03770928084850311
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 21, 2024 · 12:08 AM UTC",accidente en carretera nacional a la altura del faisan frente a la iglesia san gerardo el camion de carga con las varillas se queda sin la llanta trasera solo un carril disponible en dirección a santiago precaución al circular por la zona gncarreteras cnacgn,problema vial,6,0,1,0,https://twitter.com/AtentosMTYSur/status/1792708940486304026#m,['https://pbs.twimg.com/media/GOD7R7xW8AAQRmR.jpg'],,,-1.72474068,,,,,,5,0.010522900149226189,0.014471313916146755,0.014750558882951736,0.016160832718014717,0.021170612424612045,0.9229238629341125
@ParqueChipinque,Parque Ecológico Chipinque A.B.P.,"Jun 21, 2024 · 2:16 AM UTC",FALSO,no se relaciona,21,6,0,0,https://twitter.com/ParqueChipinque/status/1803975164687978711#m,,,,-1.714686579,,,,,,4,0.02066783607006073,0.02173101156949997,0.030091233551502228,0.031003126874566078,0.8578556776046753,0.038651153445243835
