Usuario,Nombre,Fecha,Texto,Tipo,Nivel,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 19, 2024 · 9:45 PM UTC",debido al paso de la tormentatropical alberto se pronostican lluvias y vientos importantes en campeche chiapas coahuila guanajuato hidalgo nuevo león oaxaca puebla querétaro quintana roo san luis potosí tabasco tamaulipas veracruz y yucatán,lluvia,,45,30,1,0,https://twitter.com/GermanMSantoyo/status/1803544680493166846#m,['https://pbs.twimg.com/media/GQd6U7tasAAt89c.jpg'],,
@conagua_mx,Conagua,"Jun 19, 2024 · 8:40 PM UTC",comunicado ante paso del ciclón alberto es necesario extremar precauciones por lluvia viento y oleaje gobiernomx más información en,lluvia,,7,2,0,0,https://twitter.com/conagua_mx/status/1803528285017743607#m,['https://pbs.twimg.com/media/GQdrYX2a0AAMPiw.jpg'],,
@conagua_mx,Conagua,"Jun 19, 2024 · 1:47 AM UTC",se prevén lluvias torrenciales en campeche y chiapas e intensas en la penínsuladeyucatán noreste oriente y sureste de méxico más infornación en,lluvia,,42,10,1,0,https://twitter.com/conagua_mx/status/1803243199726588084#m,['https://pbs.twimg.com/media/GQZoIWwaIAAjBZZ.jpg'],,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC",local conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas tras degradación de alberto,lluvia,,73,24,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC",entérate la sierra de santiago es impactada por lluvias de la tormenta alberto que dejó deslaves e inundaciones la cola de caballo se desborda más información en,inundación,,68,15,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/pl/u5u8-S8iUBWsa1-e.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:34 PM UTC",entérate la fuerza de los afluentes de agua en el parque la huasteca tras las lluvias por alberto rompen la carretera a la presa rompepicos más información en federico padilla,lluvia,,244,57,2,0,https://twitter.com/elnortelocal/status/1803934448070598743#m,,['https://video.twimg.com/ext_tw_video/1803934404856684544/pu/pl/U7O_AJMksi_z5yAl.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:01 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,inundación,,26,9,5,2,https://twitter.com/elnortelocal/status/1803926224013512758#m,,,
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC",local la casa del tec ubicada en santa catarina y que será rifada este sábado sufre inundaciones por las lluvias de la tormenta alberto más información en,inundación,,37,13,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/pl/kdU2UaE3QVmJttZc.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:05 PM UTC",local ayd pide a la población no beber agua de la llave ya que por las recientes lluvias los procesos de purificación no alcanzan a aclararla,lluvia,,841,212,55,21,https://twitter.com/elnortelocal/status/1803866682655424820#m,,['https://video.twimg.com/ext_tw_video/1803866604289056769/pu/pl/AK4Kkhb2EQ-3jJut.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 6:40 PM UTC",entérate las lluvias por la tormenta alberto provocan el cierre de la autopista y la carretera libre de monterrey a saltillo reportan deslaves más información en,inundación,,48,12,1,0,https://twitter.com/elnortelocal/status/1803860429136912628#m,,['https://video.twimg.com/ext_tw_video/1803860412506472448/pu/pl/gq8lQgPofWsY3JKa.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:35 PM UTC",local ante lluvias de alberto un tramo del carril exprés sobre la avenida constitución se deslava y cae al río santa catarina,lluvia,,124,32,1,5,https://twitter.com/elnortelocal/status/1803844125453881378#m,,['https://video.twimg.com/ext_tw_video/1803843637819625472/pu/pl/-GYmTNosIfuxV515.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:20 PM UTC",local por las fuertes lluvias más de colonias del sur de monterrey reportan quedarse sin luz desde la madrugada de este jueves,lluvia,,9,3,4,1,https://twitter.com/elnortelocal/status/1803840427377758408#m,,,
@elnortelocal,elnortelocal,"Jun 20, 2024 · 3:05 PM UTC",entérate el nivel del río santa catarina luce con un mayor flujo de agua por las fuertes lluvias que han azotado a la ciudad durante esta madrugada,lluvia,,20,4,2,0,https://twitter.com/elnortelocal/status/1803806265635709385#m,,,
@elnortelocal,elnortelocal,"Jun 20, 2024 · 2:59 PM UTC",local lluvias torrenciales de la tormenta tropical alberto desbordan afluentes y provocan inundaciones en la cabecera municipal de aramberri más información,inundación,,109,30,2,3,https://twitter.com/elnortelocal/status/1803804990470824026#m,,['https://video.twimg.com/ext_tw_video/1803804965376274432/pu/pl/PswyHic8JpL8Eial.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 1:27 AM UTC",local el río pilón en montemorelos presenta gran flujo de agua tras las lluvias presentadas durante la tarde al sur del estado más información,lluvia,,88,12,0,0,https://twitter.com/elnortelocal/status/1803600518272491817#m,,['https://video.twimg.com/ext_tw_video/1803599744234614784/pu/pl/ZUUfQeXGAQQc09e5.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 · 10:03 PM UTC",local las lluvias provocan fallas en semáforos de la calle zaragoza y en sus cruces con colón y reforma sigue la información de las lluvias en el estado aquí,lluvia,,24,9,3,1,https://twitter.com/elnortelocal/status/1803549072877560305#m,,['https://video.twimg.com/ext_tw_video/1803548674892636164/pu/pl/6A0bMQlXblFZv0WL.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 · 9:20 PM UTC",entérate la avenida josé ángel conchello en monterrey ya sufre los estragos de las lluvias presentadas en la ciudad más información,lluvia,,88,13,5,2,https://twitter.com/elnortelocal/status/1803538475083505722#m,,['https://video.twimg.com/ext_tw_video/1803537202439503873/pu/pl/r09S0Iuzv1YmFx8D.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 · 8:17 PM UTC",entérate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como monterrey san pedro guadalupe y santa catarina más información,lluvia,,43,6,0,2,https://twitter.com/elnortelocal/status/1803522409548619778#m,,['https://video.twimg.com/ext_tw_video/1803522257832255489/pu/pl/jbmAJSTEyWc40SCX.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 · 6:28 PM UTC",entérate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como san pedro santa catarina y guadalupe más información en,lluvia,,35,3,1,0,https://twitter.com/elnortelocal/status/1803495002821239136#m,,['https://video.twimg.com/ext_tw_video/1803494970856460288/pu/pl/8H2OmVgGRdD9FhrB.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 · 5:52 PM UTC",seguridad un conato de incendio en un aparato eléctrico de un domicilio moviliza a bomberos y rescatistas en la colonia capistrana en san pedro,eléctrico,,8,1,0,0,https://twitter.com/elnortelocal/status/1803486028457713667#m,,,
@elnortelocal,elnortelocal,"Jun 19, 2024 · 3:26 PM UTC",entérate acorde al centro nacional de huracanes de estados unidos se forma la tormenta tropical alberto sobre el golfo lluvias llegarán a nl,lluvia,,17,3,1,1,https://twitter.com/elnortelocal/status/1803449197833949614#m,,,
@elnortelocal,elnortelocal,"Jun 19, 2024 · 2:27 PM UTC",local el gobierno de nuevoleón y los municipios afirman tomar medidas para afrontar los días de lluvia pronosticados por la posible formación de la tormentatropical alberto más información en,lluvia,,2,0,0,0,https://twitter.com/elnortelocal/status/1803434316879237242#m,,,
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 4:35 AM UTC",ahoranl en estos momentos muy fuerte lluvia en avantiguos ejidatarios en la zona de la alianza en monterrey no salgan ni intenten cruzar menos manejar quédense en un lugar seguro loquepasaennl,lluvia,,139,10,3,2,https://twitter.com/LoQuePasaEnNL/status/1804010315488858195#m,,['https://video.twimg.com/ext_tw_video/1804010280948731904/pu/pl/S2kpvIKQRqOn5NPK.m3u8?tag=12'],
@mtygob,Gobierno Monterrey,"Jun 21, 2024 · 2:51 AM UTC",cierres a la vialidad por inundaciones hasta el momento zona sur camino al mirador y lazaro cardenas parque canoas antiguo camino a villa de santiago y avenida la hacienda antiguo camino a villa de santiago y santa anita,inundación,,70,15,1,0,https://twitter.com/mtygob/status/1803983994243158135#m,,,
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 2:02 AM UTC",vuelve a arreciar la lluvia en diversas zonas del área metropolitana precaución alberto,lluvia,,121,10,3,0,https://twitter.com/LoQuePasaEnNL/status/1803971622245929454#m,,,
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 20, 2024 · 11:32 PM UTC",reportan riesgo de desborde del río pesquería en los límites de escobedo y garcía a la altura del libramiento,inundación,,90,6,0,0,https://twitter.com/LoQuePasaEnNL/status/1803933993525743940#m,"['https://pbs.twimg.com/media/GQjcaEWakAMtHo4.jpg', 'https://pbs.twimg.com/media/GQjcaEZakAAth0L.jpg']",,
@DarkKnightMty,DarkKnightMty,"Jun 20, 2024 · 9:19 PM UTC",lamento mucho que didifoodmx didimexico esté motivando a sus repartidores a salir a exponer sus vidas con todo y las inundaciones ellos no responderán por la vida de sus repartidores que ni siquiera tienen prestaciones de ley monterrey alberto,inundación,,81,24,9,3,https://twitter.com/DarkKnightMty/status/1803900379685408924#m,['https://pbs.twimg.com/media/GQi91f2WQAAiPPF.jpg'],,
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 20, 2024 · 8:30 PM UTC",fuerte lluvia en la rotonda de solidaridad en monterrey,lluvia,,95,6,0,0,https://twitter.com/LoQuePasaEnNL/status/1803888217458184528#m,,['https://video.twimg.com/ext_tw_video/1803888192325849089/pu/pl/DLVhuOLUhcf14giG.m3u8?tag=12'],
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 20, 2024 · 8:19 PM UTC",ahoranl aminoro la lluvia en bustamante nl,lluvia,,87,8,0,0,https://twitter.com/LoQuePasaEnNL/status/1803885298964984077#m,,['https://video.twimg.com/ext_tw_video/1803885284926562304/pu/pl/Ff7i4QhWo3hUxZzV.m3u8?tag=12'],
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 20, 2024 · 6:29 PM UTC",alista el gobierno municipal de linares el cierre de puentes tras lluvias extremas,lluvia,,103,7,0,1,https://twitter.com/LoQuePasaEnNL/status/1803857829935415620#m,,['https://video.twimg.com/ext_tw_video/1803857653132857347/pu/pl/yu-mGF_Rlcq8lz8w.m3u8?tag=12'],
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 20, 2024 · 5:28 PM UTC",increíble la mismísima residencia mejor conocida en todo mexico como la casa del tec esté inundada por las lluvias en monterrey todo esto a unos días del sorteo,inundación,,504,74,24,4,https://twitter.com/LoQuePasaEnNL/status/1803842332527333428#m,,['https://video.twimg.com/amplify_video/1803839849100607489/pl/3-bLOW0K_cEd4025.m3u8?tag=16'],
@mty_360,MTY360™,"Jun 20, 2024 · 5:02 PM UTC",la lluvia no da respiro y así las cosas en contry la silla primer sector en guadalupe nuevo león,lluvia,,2740,393,36,12,https://twitter.com/mty_360/status/1803835703530488040#m,,['https://video.twimg.com/ext_tw_video/1803835675244175360/pu/pl/plY2DfhMQ0rfv-9w.m3u8?tag=12'],
@cesarmty,César Cepeda,"Jun 20, 2024 · 5:01 PM UTC",ultimahora así la presa la libertad ubicada en montemorelos nuevo león por las lluvias provocadas por el paso de la tormenta alberto santiago allende monterrey,lluvia,,571,63,9,1,https://twitter.com/cesarmty/status/1803835557673603248#m,,['https://video.twimg.com/ext_tw_video/1803835162070786048/pu/pl/2r-akWZ8XE6bx6a-.m3u8?tag=12'],
@Like_Mty,Likemty,"Jun 19, 2024 · 10:34 PM UTC",y empiezan los memes por la presencia de la lluvia mtyfollow hectorjtrevinot elvazleta berthisbonita elpajonalstacat atentosmtysur eldelaconsty comunidadmitras eduardovarvi judithmedrano,lluvia,,73,23,2,0,https://twitter.com/Like_Mty/status/1803556922433683465#m,,['https://video.twimg.com/ext_tw_video/1803556891932647424/pu/vid/avc1/720x1280/fxhPHBX5pbzuLcOs.mp4?tag=12'],
@Deadpoolmx2,deadpoolmx,"Jun 18, 2024 · 5:09 PM UTC",todos los regios así esperando la lluvia del ciclón,lluvia,,3,1,0,0,https://twitter.com/Deadpoolmx2/status/1803112936447111452#m,['https://pbs.twimg.com/media/GQXxqRYWIAAGB2Z.jpg'],,
@camion_desde,🚍Desde El Camión🚏,"Jun 20, 2024 · 6:56 PM UTC",ruta va brindar servicio al menos que digan otra cosa están checando los recorridos para evitar zonas con cierres o afectadas por la lluvia,lluvia,,30,3,5,1,https://twitter.com/camion_desde/status/1803864394285154411#m,,,
@samuel_garcias,Samuel García,"Jun 20, 2024 · 4:40 PM UTC",todos en alerta y en resguardo ni labores ni clases viene lluvia extrema,lluvia,,5036,421,194,47,https://twitter.com/samuel_garcias/status/1803830274599366965#m,['https://pbs.twimg.com/media/GQh-ExwWsAAGboG.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 20, 2024 · 6:36 PM UTC",ponteatento con la tormenta evita salir si no es necesario además considera que las fuertes lluvias están afectando algunas vialidades como la carretera linares galeana la autopista monterrey saltillo y la carretera nacional cuídate y extrema precauciones,lluvia,,5,1,0,1,https://twitter.com/metrorreynlofi1/status/1803859502019584274#m,['https://pbs.twimg.com/media/GQiYqATWkAAI-lE.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 20, 2024 · 1:00 AM UTC",prevengamos inundaciones y ayúdanos a ser parte de la solución no tires basura en la calle así se evita el desbordamientos en las alcantarillas no olvides mantenerte al tanto de las actualizaciones de las fuentes oficiales,inundación,,5,1,2,0,https://twitter.com/metrorreynlofi1/status/1803593609767428148#m,['https://pbs.twimg.com/media/GQeFNdsWoAAX5jS.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 19, 2024 · 10:25 PM UTC",si no es necesario salir de casa mantente a salvo y no salgas ya que las lluvias se incrementarán de forma intensa en el estado,lluvia,,7,0,0,0,https://twitter.com/metrorreynlofi1/status/1803554725519868229#m,['https://pbs.twimg.com/media/GQeDdxBWgAAKWKE.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 19, 2024 · 4:32 PM UTC",te compartimos algunas recomendaciones emitidas por protección civil nuevo león ante las próximas lluvias no olvides mantenerte al tanto de redes oficiales para cualquier actualización,lluvia,,0,0,0,0,https://twitter.com/metrorreynlofi1/status/1803465948860727682#m,['https://pbs.twimg.com/media/GQcyuTLaIAQ2x3G.jpg'],,
@MovilidadSN,Movilidad San Nicolas 🚨,"Feb 4, 2024 · 9:05 PM UTC",informevial elemento de movilidadsn dando apoyo a los trabajo de sofocación del incendio pcbsn está trabando para controlado el siniestro cierres viales al momento lópez y caracol lópez y santa rosa dionisio gonzalez y las torres santa rosa y ra avenida gobsannicolas,eléctrico,,17,4,1,1,https://twitter.com/MovilidadSN/status/1754249776626020570#m,"['https://pbs.twimg.com/media/GFhY3adbYAEA2Z5.jpg', 'https://pbs.twimg.com/media/GFhY3adbYAAuD-x.jpg']",,
@MovilidadSN,Movilidad San Nicolas 🚨,"Jan 31, 2024 · 9:00 PM UTC",movilidadsn en movilidadsn te damos las siguientes recomendaciones para que puedas evitar accidentes viales gobsannicolas,no se relaciona,,3,1,0,0,https://twitter.com/MovilidadSN/status/1752798912937906619#m,['https://pbs.twimg.com/media/GFME5sIX0AAs2LL.png'],,
@MovilidadSN,Movilidad San Nicolas 🚨,"Jan 22, 2024 · 1:58 PM UTC",buen día movilidadsn te comparte las siguientes recomendaciones para este dia de lluvia gobsannicolas,lluvia,,6,2,0,0,https://twitter.com/MovilidadSN/status/1749431371741692217#m,['https://pbs.twimg.com/media/GEc6j5hXgAAAH5W.jpg'],,
@MovilidadSN,Movilidad San Nicolas 🚨,"Jan 16, 2024 · 9:38 PM UTC",movilidadsn te damos las siguientes recomendaciones para evitar accidentes,no se relaciona,,5,2,0,0,https://twitter.com/MovilidadSN/status/1747372895536402615#m,['https://pbs.twimg.com/media/GD_qYgxXUAA-C__.jpg'],,
@SSP_Apodaca,Policía de Apodaca,"Jun 19, 2024 · 5:49 PM UTC",en las próximas horas se esperan lluvias de moderadas a fuertes en nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,lluvia,,12,4,0,0,https://twitter.com/SSP_Apodaca/status/1803485166738055542#m,['https://pbs.twimg.com/media/GQdEDvbaIAEdtGm.jpg'],,
@SSP_Apodaca,Policía de Apodaca,"Feb 17, 2024 · 3:38 PM UTC",continúa la lluvia en gran parte de nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,lluvia,,6,4,0,0,https://twitter.com/SSP_Apodaca/status/1758878619969933385#m,['https://pbs.twimg.com/media/GGjKyG8WoAAhmdY.jpg'],,
@SSP_Apodaca,Policía de Apodaca,"Oct 5, 2023 · 7:00 PM UTC",en las próximas horas se esperan lluvias de moderadas a fuertes en nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,lluvia,,4,3,1,0,https://twitter.com/SSP_Apodaca/status/1710007079438586181#m,['https://pbs.twimg.com/media/F7sqXOtXgAAAidq.jpg'],,
@SSP_Apodaca,Policía de Apodaca,"Aug 22, 2023 · 4:48 PM UTC",se acercan las lluvias a nuestro municipio tus limpiaparabrisas funcionan correctamente conoce el momento adecuando para sustituirlos alsiguientenivel cccicmty mtyfollow asiesmonterrey,lluvia,,5,4,2,0,https://twitter.com/SSP_Apodaca/status/1694028712432296291#m,['https://pbs.twimg.com/media/F4JmHnsW4AMj4fx.jpg'],,
@SSP_Apodaca,Policía de Apodaca,"Jul 6, 2023 · 10:37 PM UTC",precaución inicia la lluvia en varios sectores del municipio te recordamos estas reglas básicas al conducir con pavimento mojado cc cicmty mtyfollow asiesmonterrey,lluvia,,26,13,3,0,https://twitter.com/SSP_Apodaca/status/1677084434313662464#m,['https://pbs.twimg.com/media/F0YzZtVaIAAZzro.jpg'],,
@PC_NuevoLeon,Protección Civil NL,"Jun 21, 2024 · 2:20 AM UTC",ponteatento se reporta lluvia fuerte en autopista monterrey reynosa límites guadalupe y juárez extreme precauciones al conducir ante cualquier emergencia llama al todasytodossomosproteccióncivil,lluvia,,225,30,3,0,https://twitter.com/PC_NuevoLeon/status/1803976260386693471#m,,['https://video.twimg.com/ext_tw_video/1803976236676358144/pu/pl/mjfE0uEwbxELyDED.m3u8?tag=12'],
@PC_NuevoLeon,Protección Civil NL,"Jun 21, 2024 · 12:40 AM UTC",ponteatento río santa catarina no bajes la guardia la lluvia continuará de manera fuerte a intensa durante esta nochemadrugada y próximos días extreme precauciones y evite zonas de riesgo ante cualquier emergencia llama al,lluvia,,431,76,5,4,https://twitter.com/PC_NuevoLeon/status/1803951169791762795#m,,['https://video.twimg.com/ext_tw_video/1803951100321488897/pu/pl/JdwlgkkqOOfJNjXx.m3u8?tag=12'],
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 6:01 PM UTC",ponteatento lluvia fuerte en carretera a mamulique en salinas victoria extreme precauciones y modere su velocidad al conducir seguiremos informando todasytodossomosproteccióncivil,lluvia,,25,5,0,0,https://twitter.com/PC_NuevoLeon/status/1803850661509181657#m,,['https://video.twimg.com/ext_tw_video/1803850623718481920/pu/pl/WVYmdYQW8NnHVjw_.m3u8?tag=12'],
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 6:00 PM UTC",ponteatento para cualquier situación de riesgo prepara tu mochila de emergencia no bajemos la guardia las lluvias continuarán durante todo el día de hoy todasytodossomosproteccióncivil,lluvia,,25,10,0,0,https://twitter.com/PC_NuevoLeon/status/1803850521414889941#m,['https://pbs.twimg.com/media/GQiQfWPa0AAsL80.jpg'],,
@conagua_clima,CONAGUA Clima,"Jun 20, 2024 · 7:05 AM UTC",se pronostican lluvias fuertes a muy fuertes descargaseléctricas y rachas de viento de a kmh en entidades del noreste de méxico así como oleaje y posibles trombas marinas en zonas costeras ve los detalles,lluvia,,115,18,1,1,https://twitter.com/conagua_clima/status/1803685664157999481#m,['https://pbs.twimg.com/media/GQf4MsiaIAIAYzJ.jpg'],,
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:54 AM UTC",ponteatento av fidel velázquez en san nicolas monterrey se reporta lluvia fuerte extreme precauciones no cruce por avenidas o calles inundadas ante cualquier emergencia llama al todasytodossomosproteccióncivil,lluvia,,349,40,1,3,https://twitter.com/PC_NuevoLeon/status/1803652521191415858#m,,['https://video.twimg.com/ext_tw_video/1803652418577616898/pu/pl/PpuZ8ZBuAEk_4y-x.m3u8?tag=12'],
