Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Puntaje
@Cicmty,CIC,"Jun 20, 2024 · 12:37 AM UTC",inundación en santa rosa mezquital y calle gaseoducto evite la zona apodaca vía apodacanews,inundación,7,1,1,0,https://twitter.com/Cicmty/status/1803587992411386062#m,,,,-1.256202936
@Cicmty,CIC,"Jun 20, 2024 · 12:32 AM UTC",serviciodeelectricidad sin servicio en pino blanco y alamocol bosques real apodaca vía jjovalle cc cfecontigo fccl,eléctrico,3,0,0,0,https://twitter.com/Cicmty/status/1803586811056496656#m,,,,-1.518577099
@Cicmty,CIC,"Jun 20, 2024 · 12:26 AM UTC",vialidad reportan lluvia intermitente pero fuerte en la zona centro de salinasvictoria vía danilouanl,lluvia,4,0,0,0,https://twitter.com/Cicmty/status/1803585243867402397#m,,,,-0.394423664
@Cicmty,CIC,"Jun 20, 2024 · 12:20 AM UTC",postedañado por caer en paseo de los estudiantes y paseo del acantilado col cumbres o sector monterrey vía wsp cc cfecontigo pcmty,eléctrico,7,1,0,0,https://twitter.com/Cicmty/status/1803583690322419839#m,['https://pbs.twimg.com/media/GQedzn2aIAExX_w.jpg'],,,-1.120557785
@Cicmty,CIC,"Jun 20, 2024 · 12:18 AM UTC",inundación en av andrómeda y gasoducto apodaca vía apodacanews cc pcnuevoleon staclinea,inundación,1,1,1,0,https://twitter.com/Cicmty/status/1803583087047221525#m,,,,-1.320979834
@Cicmty,CIC,"Jun 19, 2024 · 11:50 PM UTC",inundación en av constitución y padre mier centro monterrey vía pcmty,inundación,214,45,4,3,https://twitter.com/Cicmty/status/1803576103191404941#m,,['https://video.twimg.com/ext_tw_video/1803576067967287297/pu/vid/avc1/848x480/Sn0WJ_PyftcPVonC.mp4?tag=12'],,-1.121317625
@Cicmty,CIC,"Jun 19, 2024 · 11:47 PM UTC",postedañado por caer en av san angel entre monte blanco y camino a chipinque col residencial chipinque sanpedro vía elpajonalstacat cc cfecontigo sanpedro qjfb,eléctrico,16,3,0,0,https://twitter.com/Cicmty/status/1803575315291316304#m,"['https://pbs.twimg.com/media/GQeWDpQaIAA58UH.jpg', 'https://pbs.twimg.com/media/GQeWDpQaIAQoFJv.jpg']",,,-1.339694262
@Cicmty,CIC,"Jun 19, 2024 · 11:35 PM UTC",vialidad reportan lluvias fuertes a la altura de la col raúl caballero fomerrey escobedo vía reportereporte,lluvia,7,0,0,0,https://twitter.com/Cicmty/status/1803572271715590608#m,,,,-0.891149461
@Cicmty,CIC,"Jun 19, 2024 · 11:22 PM UTC",serviciodeelectricidad sin servicio en manuel gonzález entre francisco siller y agustín siller col lázaro garza ayala sanpedro cc cfecontigo erzh,eléctrico,4,3,0,0,https://twitter.com/Cicmty/status/1803568970676818153#m,,,,-1.435235858
@Cicmty,CIC,"Jun 19, 2024 · 11:18 PM UTC",accidentevial volcadura en av abraham lincoln y aguaturma monterrey vía pcmty,problema vial,25,5,0,2,https://twitter.com/Cicmty/status/1803568103793504339#m,,['https://video.twimg.com/ext_tw_video/1803568077189050369/pu/vid/avc1/848x480/ZAlNXDkkWPpC8LI9.mp4?tag=12'],,-0.930123091
@Cicmty,CIC,"Jun 19, 2024 · 10:46 PM UTC",accidentevial tráiler tumba tres postes en josé maría morelos y pavón y juan de la barrera col niños héroes guadalupe vía jerrytopmty cc sspguadalupe pcnuevoleon,problema vial,10,3,2,1,https://twitter.com/Cicmty/status/1803560073798590872#m,"['https://pbs.twimg.com/media/GQeIRkAXYAAgaIh.jpg', 'https://pbs.twimg.com/media/GQeISPMXEAABiLX.jpg']",,,-0.962542176
@Cicmty,CIC,"Jun 19, 2024 · 10:42 PM UTC",vialidad cerrada por encharcamientos en av josé ángel conchello y av ruiz cortines monterrey vía pcmty,inundación,5,3,0,0,https://twitter.com/Cicmty/status/1803559083611480301#m,,,,-0.516714513
@Cicmty,CIC,"Jun 19, 2024 · 10:40 PM UTC",vialidad cerrada por encharcamientos en av aztlán y av rodrigo gómez de pte a ote monterrey vía pcmty,inundación,4,1,0,0,https://twitter.com/Cicmty/status/1803558507955806670#m,,,,-0.738611162
@Cicmty,CIC,"Jun 19, 2024 · 10:27 PM UTC",accidentevial volcadura en av constitución y gral lázaro cárdenas col riberas de linda vista guadalupe vía pcnuevoleon,problema vial,6,2,0,0,https://twitter.com/Cicmty/status/1803555135945093187#m,,,,-0.585544944
@Cicmty,CIC,"Jun 19, 2024 · 9:17 PM UTC",serviciodeelectricidad sin luz en vinedos entre compostela y viveiro col valle la rioja apodaca vía magalirdz cc cfecontigo,eléctrico,3,2,0,1,https://twitter.com/Cicmty/status/1803537664873996342#m,,,,-0.002608389
@Cicmty,CIC,"Jun 19, 2024 · 9:15 PM UTC",serviciodeelectricidad sin luz en matancillas y montefalco col prados de la sierra sanpedro vía dcvlla cc cfecontigo,eléctrico,3,2,0,0,https://twitter.com/Cicmty/status/1803537045396267224#m,,,,0.272172034
@Cicmty,CIC,"Jun 19, 2024 · 9:11 PM UTC",serviciodeelectricidad sin luz en ruperto martínez y espinoza col desarrollo urbano reforma monterrey vía jiminobu cc cfecontigo,eléctrico,6,1,0,0,https://twitter.com/Cicmty/status/1803536150029652253#m,,,,0.057823598
@Cicmty,CIC,"Jun 19, 2024 · 9:07 PM UTC",semáforosdescompuestos apagados en av república mexicana y avenida benito juárez col privadas de anáhuac escobedo vía blancoduran cc gobescobedo escobedoproxpol,eléctrico,6,3,0,0,https://twitter.com/Cicmty/status/1803534973644755263#m,,,,-1.017715335
@Cicmty,CIC,"Jun 19, 2024 · 8:38 PM UTC",serviciodeelectricidad sin luz en la jolla y santa mónica col los angeles monterrey vía luisatorres cc cfecontigo,eléctrico,8,2,0,0,https://twitter.com/Cicmty/status/1803527765632696677#m,,,,-0.01289916
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las h se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,lluvia,114,18,1,1,https://twitter.com/conagua_mx/status/1803980948914012667#m,,['https://video.twimg.com/ext_tw_video/1803980909273624578/pu/pl/eF9GKfL-epglWvJc.m3u8?tag=12'],,-0.375363916
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",además se prevén lluvias intensas en durango guanajuato hidalgo nayarit querétaro y zacatecas muy fuertes en aguascalientes campeche chihuahua colima guerrero jalisco michoacán quintana roo y sinaloa así como fuertes en yucatán,lluvia,9,5,1,0,https://twitter.com/GermanMSantoyo/status/1803964012696043834#m,,,,-0.174573556
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",aunque alberto ya se disipó es preciso no bajar la guardia porque sus remanentes siguen provocando lluvias considerables el smnmx informa que durante esta noche y madrugada habrá lluvias torrenciales en chiapas coahuila nl oax pue slp tamaulipas y veracruz,lluvia,96,23,3,0,https://twitter.com/GermanMSantoyo/status/1803964010968015285#m,['https://pbs.twimg.com/media/GQj3tMsXUAAT5E_.jpg'],,,-0.927432239
@conagua_mx,Conagua,"Jun 21, 2024 · 1:16 AM UTC",se pronostican lluvias torrenciales para coahuila nuevoleón oaxaca puebla sanluispotosí tamaulipas y veracruz más información en,lluvia,16,6,0,0,https://twitter.com/conagua_mx/status/1803960266834743694#m,['https://pbs.twimg.com/media/GQj0SajakAY6SZ7.jpg'],,,-0.299123973
@conagua_mx,Conagua,"Jun 21, 2024 · 1:15 AM UTC",como medida preventiva ante las lluvias que genera la bajapresión remanente de alberto a las hrs se incrementó la extracción en la presa la boca pasando de ms a ms por vertedor controlado actualmente tiene un de llenado con ingresos de ms,lluvia,19,3,1,0,https://twitter.com/conagua_mx/status/1803959774230515780#m,,,,0.077866942
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las horas se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,lluvia,45,7,1,0,https://twitter.com/conagua_mx/status/1803921797953524066#m,['https://pbs.twimg.com/media/GQjRS9takAEOzbD.jpg'],,,-0.193157077
@conagua_mx,Conagua,"Jun 20, 2024 · 10:02 PM UTC",avisometrorológico alberto ahora bajapresión remanente genera lluvias torrenciales en siete entidades más información en,lluvia,12,4,1,0,https://twitter.com/conagua_mx/status/1803911387460018625#m,['https://pbs.twimg.com/media/GQjH139XEAA24lk.jpg'],,,-1.327282071
@conagua_mx,Conagua,"Jun 20, 2024 · 7:37 PM UTC",como medida preventiva derivada de los efectos de la tormentatropical alberto en nuevoleón a las horas inició la extracción de ms por vertedor controlado de la presa la boca actualmente tiene un de llenado con ingresos de ms,lluvia,360,85,4,3,https://twitter.com/conagua_mx/status/1803874777267872059#m,"['https://pbs.twimg.com/media/GQimid5XMAADor5.jpg', 'https://pbs.twimg.com/media/GQimifKXcAEYD8q.jpg', 'https://pbs.twimg.com/media/GQimifOX0AAnUDW.jpg']",,,-0.200080752
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",con personal y equipo especializado el organismo de cuenca aguas del valledeméxico de la conaguamx concluyó de forma anticipada a lo inicialmente previsto las reparaciones de la fuga presentada en la planta de bombeo número del sistema cutzamala,inundación,54,24,3,1,https://twitter.com/conagua_mx/status/1803807439608758281#m,['https://pbs.twimg.com/media/GQhpPM9WMAI63Op.jpg'],,,0.933791578
@conagua_mx,Conagua,"Jun 20, 2024 · 1:32 PM UTC",comunicado antes de lo programado se concluye reparación de fuga en la planta de bombeo del sistema cutzamala más información en,inundación,57,24,5,1,https://twitter.com/conagua_mx/status/1803782864611238096#m,['https://pbs.twimg.com/media/GQhS9NIWEAA8q2c.jpg'],,,-0.726509333
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 12:48 PM UTC",el centro de la tormentatropical alberto tocó tierra a las hrs tiempo del centro en ciudad madero tamps a las hrs se situaba a km al norte de pánuco ver y a km al oeste de tampico tamps con vientos de kmh y despazamiento al oeste a kmh,lluvia,41,28,1,1,https://twitter.com/GermanMSantoyo/status/1803771818324435161#m,['https://pbs.twimg.com/media/GQhIeNRWYAA72IW.jpg'],,,-1.179665685
@conagua_mx,Conagua,"Jun 20, 2024 · 12:04 PM UTC",avisometeorológico alberto se ubica muy próximo a las costas de tamaulipas y veracruz y ocasiona lluvias en gran parte de méxico más información en,lluvia,26,6,0,0,https://twitter.com/conagua_mx/status/1803760724994351602#m,['https://pbs.twimg.com/media/GQg-0jHWcAAWJRU.jpg'],,,-0.020785838
@conagua_mx,Conagua,"Jun 20, 2024 · 7:12 AM UTC",avisometeorológico la tormentatropical alberto mantiene su trayectoria hacia las costas de tamaulipas y veracruz más información en,lluvia,38,12,0,1,https://twitter.com/conagua_mx/status/1803687389325365426#m,['https://pbs.twimg.com/media/GQf8H2RXsAAK5EU.jpg'],,,0.692665696
@conagua_mx,Conagua,"Jun 20, 2024 · 4:17 AM UTC",avisometeorológico el centro de la tormentatropical alberto se aproxima a las costas de tamaulipas y veracruz más información en,lluvia,42,14,0,0,https://twitter.com/conagua_mx/status/1803643209957908730#m,['https://pbs.twimg.com/media/GQfT8PSWkAAtpq1.jpg'],,,0.166889668
@conagua_mx,Conagua,"Jun 20, 2024 · 1:36 AM UTC",la tormentatropical alberto continúa aproximándose a las costas de tamaulipas y veracruz más información en,lluvia,47,14,0,0,https://twitter.com/conagua_mx/status/1803602751550550259#m,['https://pbs.twimg.com/media/GQevI6PWkAAVPi_.jpg'],,,0.441319108
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 1:22 AM UTC",su amplia circulación produce lluvias extraordinarias en nuevo león tamaulipas san luis potosí veracruz hidalgo y puebla lluvias torrenciales en coahuila lluvias intensas en zacatecas querétaro oaxaca chiapas tabasco campeche y quintana roo,lluvia,6,4,1,0,https://twitter.com/GermanMSantoyo/status/1803599163944247541#m,,,,-0.29832533
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 1:22 AM UTC",la tormentatropical alberto se localiza en el golfodeméxico a km al estenoreste de cabo rojo ver y a km al estesureste de tampico tamps con vientos máximos sostenidos de kmh rachas de kmh y desplazamiento hacia el oestesuroeste a kmh,lluvia,23,8,1,0,https://twitter.com/GermanMSantoyo/status/1803599158697468226#m,['https://pbs.twimg.com/media/GQervZ7XMAATxnI.jpg'],,,-0.431905091
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 19, 2024 · 9:45 PM UTC",debido al paso de la tormentatropical alberto se pronostican lluvias y vientos importantes en campeche chiapas coahuila guanajuato hidalgo nuevo león oaxaca puebla querétaro quintana roo san luis potosí tabasco tamaulipas veracruz y yucatán,lluvia,45,30,1,0,https://twitter.com/GermanMSantoyo/status/1803544680493166846#m,['https://pbs.twimg.com/media/GQd6U7tasAAt89c.jpg'],,,-0.262672544
@conagua_mx,Conagua,"Jun 19, 2024 · 8:40 PM UTC",comunicado ante paso del ciclón alberto es necesario extremar precauciones por lluvia viento y oleaje gobiernomx más información en,lluvia,7,2,0,0,https://twitter.com/conagua_mx/status/1803528285017743607#m,['https://pbs.twimg.com/media/GQdrYX2a0AAMPiw.jpg'],,,-0.13393864
@conagua_mx,Conagua,"Jun 19, 2024 · 6:39 PM UTC",sigue la transmisión envivo videoconferencia de prensa para informar sobre el desarrollo y efectos de la tormentatropical alberto por nuestro fblive,lluvia,31,16,1,0,https://twitter.com/conagua_mx/status/1803497768692097408#m,,,,1.08002913
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 19, 2024 · 4:36 PM UTC",esta mañana se formó la tormentatropical alberto primer ciclón tropical de la temporada para su centro se ubica a km al estenoroeste de cabo rojo ver y a km al este de tampico tamps con vientos máximos sostenidos de kmh y rachas de kmh,lluvia,57,33,1,0,https://twitter.com/GermanMSantoyo/status/1803466896714735700#m,['https://pbs.twimg.com/media/GQczeLZaIAQ1fkM.jpg'],,,-0.123580545
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 19, 2024 · 4:36 PM UTC",en coordinación con cnpcmx conaguamx movilizó de manera preventiva personal de piae a ciudad victoria tamaulipas donde opera el centro de mando para coordinar acciones de respuesta frente a la tormentatropical alberto,lluvia,30,11,1,0,https://twitter.com/GermanMSantoyo/status/1803466946765267108#m,"['https://pbs.twimg.com/media/GQczTKTaIAI615H.jpg', 'https://pbs.twimg.com/media/GQczll8aIAYa3MD.jpg']",,,1.229758978
@conagua_mx,Conagua,"Jun 19, 2024 · 4:12 PM UTC",avisometeorológico esta mañana se formó la tormentatropical alberto el primer ciclón de la temporada más información en,lluvia,32,4,2,1,https://twitter.com/conagua_mx/status/1803460807340048615#m,['https://pbs.twimg.com/media/GQcuC2MaYAACHgT.jpg'],,,-0.058633178
@conagua_mx,Conagua,"Jun 19, 2024 · 4:08 PM UTC",hoy a las horas hora del centro acompáñanos en la transmisión en vivo por nuestra cuenta oficial de facebook a la videoconferencia de prensa donde se informará sobre la tormentatropical alberto mantente informad,lluvia,18,8,0,0,https://twitter.com/conagua_mx/status/1803459955808235976#m,['https://pbs.twimg.com/media/GQctRDqaIAEij6e.jpg'],,,0.701505542
@conagua_mx,Conagua,"Jun 19, 2024 · 1:47 AM UTC",se prevén lluvias torrenciales en campeche y chiapas e intensas en la penínsuladeyucatán noreste oriente y sureste de méxico más infornación en,lluvia,42,10,1,0,https://twitter.com/conagua_mx/status/1803243199726588084#m,['https://pbs.twimg.com/media/GQZoIWwaIAAjBZZ.jpg'],,,-0.586432576
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:58 AM UTC",local la tormenta alberto provoca deslaves que paralizan la autopista y la carretera libre de monterrey a saltillo y causan filas kilométricas,lluvia,8,1,0,0,https://twitter.com/elnortelocal/status/1803985907457888501#m,,,,-1.499220729
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC",local conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas tras degradación de alberto,lluvia,73,24,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,,,-1.046585679
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC",entérate la sierra de santiago es impactada por lluvias de la tormenta alberto que dejó deslaves e inundaciones la cola de caballo se desborda más información en,inundación,68,15,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/pl/u5u8-S8iUBWsa1-e.m3u8?tag=12'],,-1.161274433
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:34 PM UTC",entérate la fuerza de los afluentes de agua en el parque la huasteca tras las lluvias por alberto rompen la carretera a la presa rompepicos más información en federico padilla,lluvia,244,57,2,0,https://twitter.com/elnortelocal/status/1803934448070598743#m,,['https://video.twimg.com/ext_tw_video/1803934404856684544/pu/pl/U7O_AJMksi_z5yAl.m3u8?tag=12'],,-1.140121937
@elnortelocal,elnortelocal,"Jun 20, 2024 · 10:27 PM UTC",entérate por el desprendimiento de un tramo de la avenida miguel de la madrid a la altura del hospital materno infantil los carriles fueron cerrados a la circulación,problema vial,119,32,4,1,https://twitter.com/elnortelocal/status/1803917656099021170#m,,['https://video.twimg.com/ext_tw_video/1803916433732050944/pu/pl/Nai0Es01Pllll4Jm.m3u8?tag=12'],,-1.452572703
@elnortelocal,elnortelocal,"Jun 20, 2024 · 10:04 PM UTC",local cinco columnas de la l que se construyen a un costado del río santa catarina son inundadas al desbordarse el cauce,inundación,50,18,6,1,https://twitter.com/elnortelocal/status/1803911759167639897#m,,['https://video.twimg.com/ext_tw_video/1803907280372375552/pu/pl/-R_KURVgXFNfeC5O.m3u8?tag=12'],,-1.307912469
@elnortelocal,elnortelocal,"Jun 20, 2024 · 9:32 PM UTC",local conagua inicia con desfogue del embalse para liberar espacio en la presa la boca para que capte más escurrimientos de la tormenta alberto más información en,lluvia,519,62,6,0,https://twitter.com/elnortelocal/status/1803903688466932173#m,,['https://video.twimg.com/ext_tw_video/1803903624625389568/pu/pl/aZfnxM5AbfmsmKER.m3u8?tag=12'],,0.012560278
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC",local la casa del tec ubicada en santa catarina y que será rifada este sábado sufre inundaciones por las lluvias de la tormenta alberto más información en,lluvia,37,13,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/pl/kdU2UaE3QVmJttZc.m3u8?tag=12'],,-1.041253448
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:56 PM UTC",local conagua inicia con desfogue del embalse para liberar espacio en la presa la boca para que capte más escurrimientos de la tormenta alberto,lluvia,16,2,1,2,https://twitter.com/elnortelocal/status/1803879665393696788#m,,,,-0.088868544
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:05 PM UTC",local ayd pide a la población no beber agua de la llave ya que por las recientes lluvias los procesos de purificación no alcanzan a aclararla,lluvia,841,212,55,21,https://twitter.com/elnortelocal/status/1803866682655424820#m,,['https://video.twimg.com/ext_tw_video/1803866604289056769/pu/pl/AK4Kkhb2EQ-3jJut.m3u8?tag=12'],,-1.170328617
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:03 PM UTC",local colonias de la zona norte de monterrey sufren las afectaciones por tormenta alberto al desbordarse el drenaje sanitario,inundación,3,2,0,0,https://twitter.com/elnortelocal/status/1803866321874227440#m,,,,-1.067081213
@elnortelocal,elnortelocal,"Jun 20, 2024 · 6:40 PM UTC",entérate las lluvias por la tormenta alberto provocan el cierre de la autopista y la carretera libre de monterrey a saltillo reportan deslaves más información en,lluvia,48,12,1,0,https://twitter.com/elnortelocal/status/1803860429136912628#m,,['https://video.twimg.com/ext_tw_video/1803860412506472448/pu/pl/gq8lQgPofWsY3JKa.m3u8?tag=12'],,-1.314013243
@elnortelocal,elnortelocal,"Jun 20, 2024 · 6:15 PM UTC",entérate se realiza la evacuación de personas de la petaca al desbordase el río pablillo en linares más información en elnortecomlocal,inundación,49,9,0,2,https://twitter.com/elnortelocal/status/1803854206261969320#m,,['https://video.twimg.com/ext_tw_video/1803853548133797888/pu/pl/C4hvfuuGzPn8sJVB.m3u8?tag=12'],,-0.727213681
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:35 PM UTC",local ante lluvias de alberto un tramo del carril exprés sobre la avenida constitución se deslava y cae al río santa catarina,lluvia,124,32,1,5,https://twitter.com/elnortelocal/status/1803844125453881378#m,,['https://video.twimg.com/ext_tw_video/1803843637819625472/pu/pl/-GYmTNosIfuxV515.m3u8?tag=12'],,-1.015900731
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:20 PM UTC",local por las fuertes lluvias más de colonias del sur de monterrey reportan quedarse sin luz desde la madrugada de este jueves,eléctrico,9,3,4,1,https://twitter.com/elnortelocal/status/1803840427377758408#m,,,,-1.118714809
@elnortelocal,elnortelocal,"Jun 20, 2024 · 3:05 PM UTC",entérate el nivel del río santa catarina luce con un mayor flujo de agua por las fuertes lluvias que han azotado a la ciudad durante esta madrugada,lluvia,20,4,2,0,https://twitter.com/elnortelocal/status/1803806265635709385#m,,,,-0.748611867
@elnortelocal,elnortelocal,"Jun 20, 2024 · 2:59 PM UTC",local lluvias torrenciales de la tormenta tropical alberto desbordan afluentes y provocan inundaciones en la cabecera municipal de aramberri más información,inundación,109,30,2,3,https://twitter.com/elnortelocal/status/1803804990470824026#m,,['https://video.twimg.com/ext_tw_video/1803804965376274432/pu/pl/PswyHic8JpL8Eial.m3u8?tag=12'],,-1.163088441
@elnortelocal,elnortelocal,"Jun 20, 2024 · 1:48 AM UTC",entérate reportan dos menores de edad fallecidos tras sufrir una descarga eléctrica en una zona con encharcamientos en allende más información,inundación,15,1,0,1,https://twitter.com/elnortelocal/status/1803605932624023800#m,['https://pbs.twimg.com/media/GQex5A8XIAAn1rH.jpg'],,,-1.142632246
@elnortelocal,elnortelocal,"Jun 20, 2024 · 1:27 AM UTC",local el río pilón en montemorelos presenta gran flujo de agua tras las lluvias presentadas durante la tarde al sur del estado más información,lluvia,88,12,0,0,https://twitter.com/elnortelocal/status/1803600518272491817#m,,['https://video.twimg.com/ext_tw_video/1803599744234614784/pu/pl/ZUUfQeXGAQQc09e5.m3u8?tag=12'],,-0.808238089
@elnortelocal,elnortelocal,"Jun 20, 2024 · 1:22 AM UTC",entérate así se encuentra el arroyo topo chico a la altura del cruce de las avenidas manuel l barragán y fidel velázquez en san nicolás pese a los encharcamientos en el paso a desnivel la vialidad continua abierta en ambos sentidos más información,inundación,80,26,0,1,https://twitter.com/elnortelocal/status/1803599264913768938#m,,['https://video.twimg.com/ext_tw_video/1803598177934712832/pu/pl/R_3bcpsbjTZ5Qfoe.m3u8?tag=12'],,-0.722516477
@elnortelocal,elnortelocal,"Jun 19, 2024 · 11:38 PM UTC",local en medio de la tormenta tropical alberto usuarios del transporte público reportan retrasos de más de una hora en el paso de camiones,lluvia,21,6,6,1,https://twitter.com/elnortelocal/status/1803573191123800565#m,,,,-0.839934111
@elnortelocal,elnortelocal,"Jun 19, 2024 · 10:03 PM UTC",local las lluvias provocan fallas en semáforos de la calle zaragoza y en sus cruces con colón y reforma sigue la información de las lluvias en el estado aquí,eléctrico,24,9,3,1,https://twitter.com/elnortelocal/status/1803549072877560305#m,,['https://video.twimg.com/ext_tw_video/1803548674892636164/pu/pl/6A0bMQlXblFZv0WL.m3u8?tag=12'],,-0.409561247
@elnortelocal,elnortelocal,"Jun 19, 2024 · 9:20 PM UTC",entérate la avenida josé ángel conchello en monterrey ya sufre los estragos de las lluvias presentadas en la ciudad más información,lluvia,88,13,5,2,https://twitter.com/elnortelocal/status/1803538475083505722#m,,['https://video.twimg.com/ext_tw_video/1803537202439503873/pu/pl/r09S0Iuzv1YmFx8D.m3u8?tag=12'],,-0.109658629
