Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Nivel
@PC_NuevoLeon,Protección Civil NL,"Jun 21, 2024 · 2:20 AM UTC",ponteatento se reporta lluvia fuerte en autopista monterrey reynosa límites guadalupe y juárez extreme precauciones al conducir ante cualquier emergencia llama al todasytodossomosproteccióncivil,275,35,6,0,https://twitter.com/PC_NuevoLeon/status/1803976260386693471#m,,['https://video.twimg.com/ext_tw_video/1803976236676358144/pu/vid/avc1/848x478/3KQmSyciInF3N0rS.mp4?tag=12'],,1
@PC_NuevoLeon,Protección Civil NL,"Jun 21, 2024 · 12:40 AM UTC",ponteatento río santa catarina no bajes la guardia la lluvia continuará de manera fuerte a intensa durante esta nochemadrugada y próximos días extreme precauciones y evite zonas de riesgo ante cualquier emergencia llama al,470,85,5,4,https://twitter.com/PC_NuevoLeon/status/1803951169791762795#m,,['https://video.twimg.com/ext_tw_video/1803951100321488897/pu/vid/avc1/848x384/tEkdiDqP85rO0Jrb.mp4?tag=12'],,2
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 6:01 PM UTC",ponteatento lluvia fuerte en carretera a mamulique en salinas victoria extreme precauciones y modere su velocidad al conducir seguiremos informando todasytodossomosproteccióncivil,25,6,0,0,https://twitter.com/PC_NuevoLeon/status/1803850661509181657#m,,['https://video.twimg.com/ext_tw_video/1803850623718481920/pu/vid/avc1/478x850/WLEjupdZYfGX822u.mp4?tag=12'],,2
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:54 AM UTC",ponteatento av fidel velázquez en san nicolas monterrey se reporta lluvia fuerte extreme precauciones no cruce por avenidas o calles inundadas ante cualquier emergencia llama al todasytodossomosproteccióncivil,349,40,1,3,https://twitter.com/PC_NuevoLeon/status/1803652521191415858#m,,['https://video.twimg.com/ext_tw_video/1803652418577616898/pu/vid/avc1/1280x576/6dcsGUqXRInOnvVr.mp4?tag=12'],,2
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:16 AM UTC",quédateencasa la lluvia continuará durante toda la noche y madrugada del jueves no bajes la guardia ante cualquier emergencia llamar al todasytodossomosproteccióncivil,14,2,1,0,https://twitter.com/PC_NuevoLeon/status/1803642953446957142#m,,,,2
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:16 AM UTC",ponteatento continuan nuestras unidades de protección civil nuevo león en recorridos de prevención y seguridad ante la presencia de lluvia fuerte que se registra en el estado por la tormenta tropical alberto,114,10,1,0,https://twitter.com/PC_NuevoLeon/status/1803642951240753336#m,,['https://video.twimg.com/ext_tw_video/1803642888686911488/pu/vid/avc1/848x478/Dn_8A24B3aZNT9rB.mp4?tag=12'],,2
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 2:14 AM UTC",ponteatento carretera miguel aleman rio pesquería se reporta lluvia de ligera a moderada en el lugar extreme precauciones unidades pcnuevoleon en coordinación con corporaciones municipales de protección civil se encuentran atentas a cualquier emergencia,371,66,2,0,https://twitter.com/PC_NuevoLeon/status/1803612455735623831#m,,['https://video.twimg.com/ext_tw_video/1803612391063654401/pu/vid/avc1/848x480/CVUYUXa3vzwfloE8.mp4?tag=12'],,2
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 1:24 AM UTC",las lluvias podrían originar visibilidad reducida deslaves encharcamientos o inundaciones así como incremento en los niveles de rios arroyos en la región del estado,2,1,1,0,https://twitter.com/PC_NuevoLeon/status/1803599822206706016#m,,,,1
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 1:22 AM UTC",recuerde seguir las recomendaciones que emite protección civil nuevo león para evitar accidentes eviten cruzar ríos arroyos vados pasos a desnivel o corrientes repentinas de agua evite salir de casa si no es necesario evite tirar basura en la calle,5,6,1,0,https://twitter.com/PC_NuevoLeon/status/1803599295951634739#m,,,,1
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 9:46 PM UTC",ponteatento av morones prieto y av constitución se reporta lluvia ligera maneje con precaución ante cualquier emergencia llama al todasytodossomosproteccióncivil,138,16,3,0,https://twitter.com/PC_NuevoLeon/status/1803544845853634967#m,,['https://video.twimg.com/ext_tw_video/1803544813419241474/pu/vid/avc1/848x480/8acEpnj9kJQjGihn.mp4?tag=12'],,2
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 9:45 PM UTC",precaución carretera nacional de norte a sur km se mantiene cerrado carril por trabajos de accidente vial entre vehículos no se reportan personas lesionadas protección civil montemorelos en el lugar seguimos informando,47,4,1,1,https://twitter.com/PC_NuevoLeon/status/1803544652294898169#m,"['https://pbs.twimg.com/media/GQd6TKMaIAMPfBU.jpg', 'https://pbs.twimg.com/media/GQd6TMiaYAA9wIC.jpg', 'https://pbs.twimg.com/media/GQd6TSZaIAEDIKH.jpg']",,,3
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 9:45 PM UTC",ponteatento se reporta lluvia intensa en la carretera nacional cercado en santiago nl tome sus precauciones tormentatropicalalberto seguiremos informando,84,8,0,1,https://twitter.com/PC_NuevoLeon/status/1803544613338448131#m,,['https://video.twimg.com/ext_tw_video/1803544577313579008/pu/vid/avc1/848x478/S1dR014OIEvLT1ZV.mp4?tag=12'],,2
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 5:37 PM UTC",atentos a la alta probabilidad de lluvia durante estos días en el estado mantente al tanto de fuentes oficiales y recomendaciones de protección civil seguimos informando todasytodossomosproteccióncivil,10,2,0,0,https://twitter.com/PC_NuevoLeon/status/1803482169672679566#m,,,,1
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 5:37 PM UTC",clima durante esta mañana se espera cielo parcialmente nublado y lluvia ocasional con grados por la tarde nublado lluvia fuerte viento y tormenta con grados noche nublado lluvia fuerte y viento con tormenta,54,13,1,1,https://twitter.com/PC_NuevoLeon/status/1803482167692923233#m,['https://pbs.twimg.com/media/GQdBeUeXoAAhTgZ.jpg'],,,1
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 4:56 AM UTC",avisometeorologico en el día de mañana miércoles se pronostica en monterrey y resto del estado lluvia ocasional por la mañana aumentando la intensidad a partir del mediodía tarde y noche con lluvia fuerte o intensa,106,29,1,1,https://twitter.com/PC_NuevoLeon/status/1803290814329790694#m,"['https://pbs.twimg.com/media/GQaTbw6XoAAbN0A.jpg', 'https://pbs.twimg.com/media/GQaTcE1XMAEDA-5.jpg', 'https://pbs.twimg.com/media/GQaTcGDXcAA9w6Q.jpg', 'https://pbs.twimg.com/media/GQaTb41WMAAwwy5.jpg']",,,2
@PC_NuevoLeon,Protección Civil NL,"Jun 18, 2024 · 4:15 PM UTC",atentos a los próximos días y la alta probabilidad de lluvia en el estado debido al potencial de ciclón uno actual en el golfo de méxico mantente al tanto de fuentes oficiales y recomendaciones de protección civil seguimos informando todasytodossomosproteccióncivil,9,2,1,0,https://twitter.com/PC_NuevoLeon/status/1803099168170287381#m,,,,1
@PC_NuevoLeon,Protección Civil NL,"Jun 18, 2024 · 3:54 AM UTC",ante el pronóstico de lluvia para los próximos días ponteatento y prepárate antes de salir de casa lleva paraguas zapatos resistentes e impermeable para evitar enfermedades ante cualquier emergencia recuerda llamar al todasytodossomosproteccióncivil,42,10,0,0,https://twitter.com/PC_NuevoLeon/status/1802912854582218786#m,['https://pbs.twimg.com/media/GQU7r-kXMAAs0aJ.jpg'],,,1
@PC_NuevoLeon,Protección Civil NL,"Jun 17, 2024 · 2:01 PM UTC",atentos a los próximos días y la alta probabilidad de lluvia en el estado debido al sistema de baja presión actual en el golfo de méxico mantente al tanto de fuentes oficiales y recomendaciones de protección civil samuelgarcias nuevoleon,8,2,0,0,https://twitter.com/PC_NuevoLeon/status/1802703203697557849#m,,,,1
@TodosSomosHLM,Hacienda Los Morales,"Jun 11, 2024 · 1:14 AM UTC",nuevamente los vecinos de roble entre conductores y hércules hacienda los morales er sector san nicolás se volvieron a quedar sin energía eléctrica apenas en la madrugada se la reconectaron y hoy con la lluvia de nuevo sin luz cfecontigo cc cicmty,4,2,1,0,https://twitter.com/TodosSomosHLM/status/1800335708869296392#m,,,,2
@TodosSomosHLM,Hacienda Los Morales,"Jun 10, 2024 · 7:33 PM UTC",muy buena lluvia el día de hoy,4,0,1,0,https://twitter.com/TodosSomosHLM/status/1800249939832058213#m,,,,1
@TodosSomosHLM,Hacienda Los Morales,"Jun 7, 2024 · 2:57 AM UTC",hoy si nos tocó mucha lluvia y viento en la zona,3,0,0,0,https://twitter.com/TodosSomosHLM/status/1798912143699636335#m,,,['https://video.twimg.com/tweet_video/GPcFDT1WgAAiQHO.mp4'],1
@NorbertoHdz,cousin richie,"May 26, 2024 · 4:52 PM UTC",cfecontigo sin luz desde las pm de ayer en calle manzanos en hacienda los morales en san nicolás número de reporte d transformador presenta fuga de aceite por favor su apoyo danielcarrillo mariogameztv telediariomty nmasmonterrey todossomoshlm,1,2,1,0,https://twitter.com/NorbertoHdz/status/1794773534679671241#m,,,,3
@TodosSomosHLM,Hacienda Los Morales,"Apr 26, 2024 · 4:10 PM UTC",peligro por eso suceden los accidentes reportan unidad de cervezamodelomx que transita cuadras en sentido contrario en av mario j montemayor hacienda los morales san nicolás vecinos reportan que siempre lo hace atención movilidadsn danielcarrillo,88,36,11,3,https://twitter.com/TodosSomosHLM/status/1783891384627318865#m,,['https://video.twimg.com/ext_tw_video/1783891333825921024/pu/pl/bDMr_gf6MorF8Rmu.m3u8?tag=12'],,3
@TodosSomosHLM,Hacienda Los Morales,"Apr 10, 2024 · 12:31 PM UTC",fuga en medidor arnulfo barrera hacienda los morales er sector aydmonterrey,2,0,1,0,https://twitter.com/TodosSomosHLM/status/1778038016272892061#m,['https://pbs.twimg.com/media/GKzcJembIAAJJW-.jpg'],,,2
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 18, 2024 · 9:38 PM UTC",tráfico complicado en carretera nacional en ambos sentidos el tráfico de sur a nte llega hasta el heb del uro se produce por un accidente poco antes de lagos del bosque y afecta la vialidad de antiguo camino a villa de santiago sspcmonterrey,21,6,3,2,https://twitter.com/AtentosMTYSur/status/1803180389890146469#m,"['https://pbs.twimg.com/media/GQYvAS_WoAE-SPD.jpg', 'https://pbs.twimg.com/media/GQYvAUEWgAA0xC_.jpg']",,,4
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 18, 2024 · 7:42 PM UTC",reportan trafico lento en carretera nacional de sur a norte por accidente poco antes de gilsa precaución al circular por la zona sspcmonterrey gncarreteras cnacgn,4,0,2,0,https://twitter.com/AtentosMTYSur/status/1803151221383110711#m,"['https://pbs.twimg.com/media/GQYUee9XkAEf4U_.jpg', 'https://pbs.twimg.com/media/GQYUee_XcAETuMU.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 18, 2024 · 6:37 PM UTC",reportan un accidente múltiple al parecer tres autos involucrados en garza sada de sur a norte a la altura del autozone en carril de alta precaución al circular por la zona sspcmonterrey,3,0,1,0,https://twitter.com/AtentosMTYSur/status/1803135085765615980#m,,['https://video.twimg.com/ext_tw_video/1803135046745747456/pu/pl/uw7pFL9ro460poTu.m3u8?tag=12'],,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 18, 2024 · 4:43 PM UTC",reportan cierre parcial por un accidente en cervera del río detrás de plaza esfera en dirección hacia la carretera nacional evite la zona y busque alternativas sspcmonterrey,17,2,3,0,https://twitter.com/AtentosMTYSur/status/1803106175027720655#m,['https://pbs.twimg.com/media/GQXrge7XEAAcOnD.jpg'],,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 8, 2024 · 6:41 PM UTC",vecinos de cortijo del río reportan su tercer día sin energía después del incendio en un transformador que dejó sin energía a una gran cantidad de vividendas del sector piden desesperadamente que cfecontigo les resuelva no les dan respuesta mtygob nmasmonterrey nelvaldez,55,18,9,0,https://twitter.com/AtentosMTYSur/status/1799512179260989912#m,['https://pbs.twimg.com/media/GPkmynwaYAAgjdY.jpg'],,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 6, 2024 · 6:57 PM UTC",reportan accidente en garza sada de nte a sur carril central dos vehículos a la altura de burger king poco después del pasó a desnivel de luis elizondo precaución al circular por la zona sspcmonterrey,8,4,0,0,https://twitter.com/AtentosMTYSur/status/1798791403356778687#m,"['https://pbs.twimg.com/media/GPaXP3mWUAAbh3v.jpg', 'https://pbs.twimg.com/media/GPaXP50aEAAZrXc.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 5, 2024 · 9:34 PM UTC",reportan trafico lento en garza sada de nte a sur por accidente en carril central poco antes de walmart las torres precaución al circular por la zona sspcmonterrey,6,1,0,0,https://twitter.com/AtentosMTYSur/status/1798468551445242165#m,"['https://pbs.twimg.com/media/GPVxncXbwAEEgqS.jpg', 'https://pbs.twimg.com/media/GPVxneMaUAATCI7.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 5, 2024 · 8:30 PM UTC",reportan un accidente en garza sada y alfonso reyes sobre la lateral frente a la plaza contry precaución al circular por la zona sspcmonterrey,14,2,0,0,https://twitter.com/AtentosMTYSur/status/1798452339495637449#m,"['https://pbs.twimg.com/media/GPVi3vnaIAAI5rP.jpg', 'https://pbs.twimg.com/media/GPVi30ZaMAA4JbF.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 1, 2024 · 5:57 PM UTC",accidente por alcance en garza sada de sur a norte a la altura de pletorico en carril de alta precaución al circular por la zona sspcmonterrey,9,3,1,0,https://twitter.com/AtentosMTYSur/status/1796964321546686614#m,"['https://pbs.twimg.com/media/GPAZhpcbAAA_rU2.jpg', 'https://pbs.twimg.com/media/GPAZhuraUAAMXCF.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 28, 2024 · 10:32 PM UTC",reportan un accidente en garza sada de sur a norte a la altura de fuerza civil dos carriles comprometidos precaución al circular por la zona sspcmonterrey,20,3,9,2,https://twitter.com/AtentosMTYSur/status/1795583967124705732#m,"['https://pbs.twimg.com/media/GOsyGe8bcAM_K-j.jpg', 'https://pbs.twimg.com/media/GOsyGe4bcAkw02Y.jpg', 'https://pbs.twimg.com/media/GOsyGlJbcAYt_3t.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 25, 2024 · 10:23 PM UTC",reportan accidente fuerte en carretera nacional de nte a sur a la altura de la plaza omnia dos carriles comprometidos precaución al circular por la zona permita el paso a las unidades de auxilio pcnuevoleon gncarreteras cnacgn,41,7,2,1,https://twitter.com/AtentosMTYSur/status/1794494406273212564#m,,['https://video.twimg.com/ext_tw_video/1794494395917729793/pu/pl/q9JW8cYfX8dtyyd0.m3u8?tag=12'],,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 25, 2024 · 2:58 AM UTC",reportan trafico lento por accidente grave en lázaro cardenas al oriente a la altura de la ladrillera al parecer se trata de un motociclista precaución al circular por la zona sspcmonterrey,8,1,1,0,https://twitter.com/AtentosMTYSur/status/1794201451373404315#m,"['https://pbs.twimg.com/media/GOZItkHW8AAGHbp.jpg', 'https://pbs.twimg.com/media/GOZItkwXYAAV_kM.jpg', 'https://pbs.twimg.com/media/GOZItllWQAAi34o.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 24, 2024 · 11:00 PM UTC",reportan un accidente en alfonso reyes a la altura de avenida las musas en contry tesoro en dirección de revolución a garza sada frente al seven precaución al circular por la zona sspcmonterrey,6,1,1,0,https://twitter.com/AtentosMTYSur/status/1794141500428759160#m,['https://pbs.twimg.com/media/GOYSL93aEAAGW-0.jpg'],,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 24, 2024 · 10:10 PM UTC",reportan incendio de pastizal en garza sada de sur a norte poco antes del motel en el cruce de estanzuela y valle alto precaución al circular por la zona permita el paso a las unidades de emergencia bomberosnl pcmty pcnuevoleon,6,2,0,0,https://twitter.com/AtentosMTYSur/status/1794128747735445730#m,"['https://pbs.twimg.com/media/GOYGllAacAA1FqG.jpg', 'https://pbs.twimg.com/media/GOYGlqmbMAA3NDL.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 24, 2024 · 6:34 PM UTC",reportan incendio en revolución y alfonso reyes sobre el río la silla precaución al circular por la zona permita el paso a los servicios de emergencia pcnuevoleon pcmty bomberosnl,48,12,2,1,https://twitter.com/AtentosMTYSur/status/1794074578584519041#m,,['https://video.twimg.com/ext_tw_video/1794074554211659776/pu/pl/3HqdlSmZoYKfAWiA.m3u8?tag=12'],,2
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 21, 2024 · 8:52 PM UTC",reportan accidente en avenida estanzuela poco después de soriana sspcmonterrey,1,0,0,0,https://twitter.com/AtentosMTYSur/status/1793022020373934370#m,"['https://pbs.twimg.com/media/GOIYBi_WsAAOjUM.jpg', 'https://pbs.twimg.com/media/GOIYBknWIAAUE6b.jpg']",,,2
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 21, 2024 · 12:08 AM UTC",accidente en carretera nacional a la altura del faisan frente a la iglesia san gerardo el camion de carga con las varillas se queda sin la llanta trasera solo un carril disponible en dirección a santiago precaución al circular por la zona gncarreteras cnacgn,6,0,1,0,https://twitter.com/AtentosMTYSur/status/1792708940486304026#m,['https://pbs.twimg.com/media/GOD7R7xW8AAQRmR.jpg'],,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 20, 2024 · 8:24 PM UTC",accidente por alcance en cañón del huajuco y antiguo camino a villa de santiago en la zona de la estanzuela de ser posible evite la zona precaución al circular por la zona sspcmonterrey,2,0,0,0,https://twitter.com/AtentosMTYSur/status/1792652747034001588#m,"['https://pbs.twimg.com/media/GODILE0XsAAQ83l.jpg', 'https://pbs.twimg.com/media/GODILDkWMAArpup.jpg']",,,2
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 15, 2024 · 8:08 PM UTC",reportan accidente en garza sada de sur a norte frente a pletorico reportan dos carriles comprometidos precaución al circular por la zona sspcmonterrey,15,4,6,0,https://twitter.com/AtentosMTYSur/status/1790836689688055887#m,"['https://pbs.twimg.com/media/GNpUenlWoAEC484.jpg', 'https://pbs.twimg.com/media/GNpUen2W0AA6qhJ.jpg', 'https://pbs.twimg.com/media/GNpUepuWoAAQtq6.jpg']",,,3
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 8, 2024 · 9:31 PM UTC",reportan un accidente en garza sada de sur a norte frente a parque canoas precaución al circular por la zona sspcmonterrey,10,1,1,0,https://twitter.com/AtentosMTYSur/status/1788320915450696039#m,"['https://pbs.twimg.com/media/GNFkZSmW8AALg_V.jpg', 'https://pbs.twimg.com/media/GNFkZU-W8AEaEzF.jpg']",,,2
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 8, 2024 · 8:56 PM UTC",reportan accidente en garza sada de sur a norte frente a pletorico carril de alta precaución al circular por la zona sspcmonterrey,9,3,2,0,https://twitter.com/AtentosMTYSur/status/1788311978588393529#m,['https://pbs.twimg.com/media/GNFcRH4WgAA2hLk.jpg'],,,2
