Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las horas se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,48,9,1,0,https://twitter.com/conagua_mx/status/1803921797953524066#m,['https://pbs.twimg.com/media/GQjRS9takAEOzbD.jpg'],,,lluvia
@conagua_mx,Conagua,"Jun 20, 2024 · 10:02 PM UTC",avisometrorológico alberto ahora bajapresión remanente genera lluvias torrenciales en siete entidades más información en,16,4,1,0,https://twitter.com/conagua_mx/status/1803911387460018625#m,['https://pbs.twimg.com/media/GQjH139XEAA24lk.jpg'],,,lluvia
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",con personal y equipo especializado el organismo de cuenca aguas del valledeméxico de la conaguamx concluyó de forma anticipada a lo inicialmente previsto las reparaciones de la fuga presentada en la planta de bombeo número del sistema cutzamala,60,24,3,1,https://twitter.com/conagua_mx/status/1803807439608758281#m,['https://pbs.twimg.com/media/GQhpPM9WMAI63Op.jpg'],,,inundación
@conagua_mx,Conagua,"Jun 20, 2024 · 1:32 PM UTC",comunicado antes de lo programado se concluye reparación de fuga en la planta de bombeo del sistema cutzamala más información en,64,24,5,1,https://twitter.com/conagua_mx/status/1803782864611238096#m,['https://pbs.twimg.com/media/GQhS9NIWEAA8q2c.jpg'],,,no se relaciona
@conagua_mx,Conagua,"Jun 20, 2024 · 12:04 PM UTC",avisometeorológico alberto se ubica muy próximo a las costas de tamaulipas y veracruz y ocasiona lluvias en gran parte de méxico más información en,26,6,0,0,https://twitter.com/conagua_mx/status/1803760724994351602#m,['https://pbs.twimg.com/media/GQg-0jHWcAAWJRU.jpg'],,,lluvia
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 1:22 AM UTC",su amplia circulación produce lluvias extraordinarias en nuevo león tamaulipas san luis potosí veracruz hidalgo y puebla lluvias torrenciales en coahuila lluvias intensas en zacatecas querétaro oaxaca chiapas tabasco campeche y quintana roo,6,4,1,0,https://twitter.com/GermanMSantoyo/status/1803599163944247541#m,,,,lluvia
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 19, 2024 · 9:45 PM UTC",debido al paso de la tormentatropical alberto se pronostican lluvias y vientos importantes en campeche chiapas coahuila guanajuato hidalgo nuevo león oaxaca puebla querétaro quintana roo san luis potosí tabasco tamaulipas veracruz y yucatán,46,31,1,0,https://twitter.com/GermanMSantoyo/status/1803544680493166846#m,['https://pbs.twimg.com/media/GQd6U7tasAAt89c.jpg'],,,lluvia
@conagua_mx,Conagua,"Jun 19, 2024 · 8:40 PM UTC",comunicado ante paso del ciclón alberto es necesario extremar precauciones por lluvia viento y oleaje gobiernomx más información en,7,2,0,0,https://twitter.com/conagua_mx/status/1803528285017743607#m,['https://pbs.twimg.com/media/GQdrYX2a0AAMPiw.jpg'],,,lluvia
@elnortelocal,elnortelocal,"Jun 21, 2024 · 7:28 PM UTC",local conagua vigila una zona de baja presión en el golfo con potencial para desarrollo ciclónico que traerá lluvias a partir del domingo a nl,20,10,1,1,https://twitter.com/elnortelocal/status/1804234944123932795#m,,,,lluvia
@elnortelocal,elnortelocal,"Jun 21, 2024 · 5:42 PM UTC",entérate sectores aledaños a la presa libertad sufren inundaciones generadas por los escurrimientos de las lluvias acumuladas en linares más información en,44,11,0,0,https://twitter.com/elnortelocal/status/1804208385442607331#m,,['https://video.twimg.com/ext_tw_video/1804208357596663808/pu/pl/DhgOaA3w9DpIIBK9.m3u8?tag=12'],,inundación
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:50 PM UTC",entérate tras las lluvias de alberto el gobernador samuel garcía se compromete a arrancar el lunes la reconstrucción de los daños en el par vial,8,1,2,0,https://twitter.com/elnortelocal/status/1804195172462522809#m,,,,lluvia
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:48 PM UTC",entérate la conagua reporta que algunas estaciones de medición alcanzan los milímetros de agua tras las lluvias de la tormenta alberto en nl,24,5,0,0,https://twitter.com/elnortelocal/status/1804194744689479787#m,,,,lluvia
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:50 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,15,2,5,0,https://twitter.com/elnortelocal/status/1804164890686337412#m,,,,inundación
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:34 PM UTC",local luego de su peor nivel en años las presas que abastecen a la ciudad suben su almacenamiento en conjunto con lluvias de alberto más información en,3,1,0,0,https://twitter.com/elnortelocal/status/1804161032232780003#m,,,,lluvia
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC",local conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas tras degradación de alberto,77,25,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,,,lluvia
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC",entérate la sierra de santiago es impactada por lluvias de la tormenta alberto que dejó deslaves e inundaciones la cola de caballo se desborda más información en,74,16,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/pl/u5u8-S8iUBWsa1-e.m3u8?tag=12'],,inundación
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:34 PM UTC",entérate la fuerza de los afluentes de agua en el parque la huasteca tras las lluvias por alberto rompen la carretera a la presa rompepicos más información en federico padilla,266,60,2,0,https://twitter.com/elnortelocal/status/1803934448070598743#m,,['https://video.twimg.com/ext_tw_video/1803934404856684544/pu/pl/U7O_AJMksi_z5yAl.m3u8?tag=12'],,lluvia
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:01 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,31,9,5,2,https://twitter.com/elnortelocal/status/1803926224013512758#m,,,,inundación
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC",local la casa del tec ubicada en santa catarina y que será rifada este sábado sufre inundaciones por las lluvias de la tormenta alberto más información en,40,13,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/pl/kdU2UaE3QVmJttZc.m3u8?tag=12'],,inundación
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:05 PM UTC",local ayd pide a la población no beber agua de la llave ya que por las recientes lluvias los procesos de purificación no alcanzan a aclararla,967,242,57,23,https://twitter.com/elnortelocal/status/1803866682655424820#m,,['https://video.twimg.com/ext_tw_video/1803866604289056769/pu/pl/AK4Kkhb2EQ-3jJut.m3u8?tag=12'],,lluvia
@elnortelocal,elnortelocal,"Jun 20, 2024 · 6:40 PM UTC",entérate las lluvias por la tormenta alberto provocan el cierre de la autopista y la carretera libre de monterrey a saltillo reportan deslaves más información en,50,12,1,0,https://twitter.com/elnortelocal/status/1803860429136912628#m,,['https://video.twimg.com/ext_tw_video/1803860412506472448/pu/pl/gq8lQgPofWsY3JKa.m3u8?tag=12'],,inundación
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:35 PM UTC",local ante lluvias de alberto un tramo del carril exprés sobre la avenida constitución se deslava y cae al río santa catarina,127,32,1,5,https://twitter.com/elnortelocal/status/1803844125453881378#m,,['https://video.twimg.com/ext_tw_video/1803843637819625472/pu/pl/-GYmTNosIfuxV515.m3u8?tag=12'],,lluvia
@elnortelocal,elnortelocal,"Jun 20, 2024 · 5:20 PM UTC",local por las fuertes lluvias más de colonias del sur de monterrey reportan quedarse sin luz desde la madrugada de este jueves,10,3,4,1,https://twitter.com/elnortelocal/status/1803840427377758408#m,,,,lluvia
@elnortelocal,elnortelocal,"Jun 20, 2024 · 3:05 PM UTC",entérate el nivel del río santa catarina luce con un mayor flujo de agua por las fuertes lluvias que han azotado a la ciudad durante esta madrugada,20,4,2,1,https://twitter.com/elnortelocal/status/1803806265635709385#m,,,,lluvia
@elnortelocal,elnortelocal,"Jun 20, 2024 · 2:59 PM UTC",local lluvias torrenciales de la tormenta tropical alberto desbordan afluentes y provocan inundaciones en la cabecera municipal de aramberri más información,110,30,2,3,https://twitter.com/elnortelocal/status/1803804990470824026#m,,['https://video.twimg.com/ext_tw_video/1803804965376274432/pu/pl/PswyHic8JpL8Eial.m3u8?tag=12'],,inundación
@elnortelocal,elnortelocal,"Jun 20, 2024 · 1:27 AM UTC",local el río pilón en montemorelos presenta gran flujo de agua tras las lluvias presentadas durante la tarde al sur del estado más información,88,12,0,0,https://twitter.com/elnortelocal/status/1803600518272491817#m,,['https://video.twimg.com/ext_tw_video/1803599744234614784/pu/pl/ZUUfQeXGAQQc09e5.m3u8?tag=12'],,lluvia
@elnortelocal,elnortelocal,"Jun 19, 2024 · 10:03 PM UTC",local las lluvias provocan fallas en semáforos de la calle zaragoza y en sus cruces con colón y reforma sigue la información de las lluvias en el estado aquí,24,9,3,1,https://twitter.com/elnortelocal/status/1803549072877560305#m,,['https://video.twimg.com/ext_tw_video/1803548674892636164/pu/pl/6A0bMQlXblFZv0WL.m3u8?tag=12'],,lluvia
@elnortelocal,elnortelocal,"Jun 19, 2024 · 9:20 PM UTC",entérate la avenida josé ángel conchello en monterrey ya sufre los estragos de las lluvias presentadas en la ciudad más información,89,13,5,2,https://twitter.com/elnortelocal/status/1803538475083505722#m,,['https://video.twimg.com/ext_tw_video/1803537202439503873/pu/pl/r09S0Iuzv1YmFx8D.m3u8?tag=12'],,lluvia
@elnortelocal,elnortelocal,"Jun 19, 2024 · 8:17 PM UTC",entérate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como monterrey san pedro guadalupe y santa catarina más información,43,6,0,2,https://twitter.com/elnortelocal/status/1803522409548619778#m,,['https://video.twimg.com/ext_tw_video/1803522257832255489/pu/pl/jbmAJSTEyWc40SCX.m3u8?tag=12'],,lluvia
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 5:08 PM UTC",arrecia por lapsos la lluvia en el área metropolitana y rural en nl no tengo dudas el cuchillo y cerro prieto alcanzarán niveles mucho mayores que los actuales,97,3,2,0,https://twitter.com/LoQuePasaEnNL/status/1804199777036570772#m,,,,lluvia
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 3:54 PM UTC",niveles de las presas en nl al momento hoy de junio cuando aún faltan lluvias y escurrimientos presa la boca almacenamiento mm presa cerro prieto almacenamiento mm presa el cuchillo almacenamiento mm alberto,98,13,4,0,https://twitter.com/LoQuePasaEnNL/status/1804181059380359249#m,['https://pbs.twimg.com/media/GQm9HOzWwAAcnf8.jpg'],,,lluvia
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 4:35 AM UTC",ahoranl en estos momentos muy fuerte lluvia en avantiguos ejidatarios en la zona de la alianza en monterrey no salgan ni intenten cruzar menos manejar quédense en un lugar seguro loquepasaennl,301,23,4,2,https://twitter.com/LoQuePasaEnNL/status/1804010315488858195#m,,['https://video.twimg.com/ext_tw_video/1804010280948731904/pu/pl/S2kpvIKQRqOn5NPK.m3u8?tag=12'],,lluvia
@mtygob,Gobierno Monterrey,"Jun 21, 2024 · 2:51 AM UTC",cierres a la vialidad por inundaciones hasta el momento zona sur camino al mirador y lazaro cardenas parque canoas antiguo camino a villa de santiago y avenida la hacienda antiguo camino a villa de santiago y santa anita,90,17,1,0,https://twitter.com/mtygob/status/1803983994243158135#m,,,,inundación
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 2:02 AM UTC",vuelve a arreciar la lluvia en diversas zonas del área metropolitana precaución alberto,126,10,3,0,https://twitter.com/LoQuePasaEnNL/status/1803971622245929454#m,,,,lluvia
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 20, 2024 · 11:32 PM UTC",reportan riesgo de desborde del río pesquería en los límites de escobedo y garcía a la altura del libramiento,102,6,0,0,https://twitter.com/LoQuePasaEnNL/status/1803933993525743940#m,"['https://pbs.twimg.com/media/GQjcaEWakAMtHo4.jpg', 'https://pbs.twimg.com/media/GQjcaEZakAAth0L.jpg']",,,inundación
@DarkKnightMty,DarkKnightMty,"Jun 20, 2024 · 9:19 PM UTC",lamento mucho que didifoodmx didimexico esté motivando a sus repartidores a salir a exponer sus vidas con todo y las inundaciones ellos no responderán por la vida de sus repartidores que ni siquiera tienen prestaciones de ley monterrey alberto,92,27,10,3,https://twitter.com/DarkKnightMty/status/1803900379685408924#m,['https://pbs.twimg.com/media/GQi91f2WQAAiPPF.jpg'],,,inundación
@ELSEMANARIO_NL,El Semanario de NL,"Jun 21, 2024 · 2:00 AM UTC",continúan las lluvias en la zmm de monterrey por favor extremen precaucionesabimaelsalas andresmijesmx apodacaoficial azucenau cesargarzaarr danielcarrillo eldelaconsty franciscoleonjf gobsannicolas lamiradadeltaxi lcalatorre,6,1,1,0,https://twitter.com/ELSEMANARIO_NL/status/1803971115179741350#m,,['https://video.twimg.com/ext_tw_video/1803970770613248000/pu/pl/SsUBriy6BBJgTVs8.m3u8?tag=12'],,lluvia
@Like_Mty,Likemty,"Jun 19, 2024 · 10:34 PM UTC",y empiezan los memes por la presencia de la lluvia mtyfollow hectorjtrevinot elvazleta berthisbonita elpajonalstacat atentosmtysur eldelaconsty comunidadmitras eduardovarvi judithmedrano,73,23,2,0,https://twitter.com/Like_Mty/status/1803556922433683465#m,,['https://video.twimg.com/ext_tw_video/1803556891932647424/pu/pl/hZ8wJ34FASY3WdXv.m3u8?tag=12'],,lluvia
@Deadpoolmx2,deadpoolmx,"Jun 18, 2024 · 5:09 PM UTC",todos los regios así esperando la lluvia del ciclón,3,1,0,0,https://twitter.com/Deadpoolmx2/status/1803112936447111452#m,['https://pbs.twimg.com/media/GQXxqRYWIAAGB2Z.jpg'],,,lluvia
@daniel_carrillo,Daniel Carrillo Mtz,"Jun 21, 2024 · 4:12 PM UTC",precauciónvial fidel velazquezbarragan abierto y aforo fluido encharcamientos menores maneje con precaución saldrá el sol por momentos no se confíen seguirán lluvias cicmty gobsannicolas camiondesde lilyolivaresc chaledelafuente,67,26,5,0,https://twitter.com/daniel_carrillo/status/1804185510429982926#m,['https://pbs.twimg.com/media/GQnBKCwXwAAxvkr.jpg'],,,lluvia
@camion_desde,🚍Desde El Camión🚏,"Jun 20, 2024 · 6:56 PM UTC",ruta va brindar servicio al menos que digan otra cosa están checando los recorridos para evitar zonas con cierres o afectadas por la lluvia,32,3,5,1,https://twitter.com/camion_desde/status/1803864394285154411#m,,,,lluvia
@samuel_garcias,Samuel García,"Jun 20, 2024 · 4:40 PM UTC",todos en alerta y en resguardo ni labores ni clases viene lluvia extrema,5388,430,202,48,https://twitter.com/samuel_garcias/status/1803830274599366965#m,['https://pbs.twimg.com/media/GQh-ExwWsAAGboG.jpg'],,,lluvia
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 20, 2024 · 6:36 PM UTC",ponteatento con la tormenta evita salir si no es necesario además considera que las fuertes lluvias están afectando algunas vialidades como la carretera linares galeana la autopista monterrey saltillo y la carretera nacional cuídate y extrema precauciones,7,1,0,1,https://twitter.com/metrorreynlofi1/status/1803859502019584274#m,['https://pbs.twimg.com/media/GQiYqATWkAAI-lE.jpg'],,,lluvia
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 20, 2024 · 1:00 AM UTC",prevengamos inundaciones y ayúdanos a ser parte de la solución no tires basura en la calle así se evita el desbordamientos en las alcantarillas no olvides mantenerte al tanto de las actualizaciones de las fuentes oficiales,5,1,1,0,https://twitter.com/metrorreynlofi1/status/1803593609767428148#m,['https://pbs.twimg.com/media/GQeFNdsWoAAX5jS.jpg'],,,inundación
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 19, 2024 · 10:25 PM UTC",si no es necesario salir de casa mantente a salvo y no salgas ya que las lluvias se incrementarán de forma intensa en el estado,7,0,0,0,https://twitter.com/metrorreynlofi1/status/1803554725519868229#m,['https://pbs.twimg.com/media/GQeDdxBWgAAKWKE.jpg'],,,lluvia
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 19, 2024 · 4:32 PM UTC",te compartimos algunas recomendaciones emitidas por protección civil nuevo león ante las próximas lluvias no olvides mantenerte al tanto de redes oficiales para cualquier actualización,0,0,0,0,https://twitter.com/metrorreynlofi1/status/1803465948860727682#m,['https://pbs.twimg.com/media/GQcyuTLaIAQ2x3G.jpg'],,,lluvia
@MovilidadSN,Movilidad San Nicolas 🚨,"Feb 4, 2024 · 9:05 PM UTC",informevial elemento de movilidadsn dando apoyo a los trabajo de sofocación del incendio pcbsn está trabando para controlado el siniestro cierres viales al momento lópez y caracol lópez y santa rosa dionisio gonzalez y las torres santa rosa y ra avenida gobsannicolas,17,4,1,1,https://twitter.com/MovilidadSN/status/1754249776626020570#m,"['https://pbs.twimg.com/media/GFhY3adbYAEA2Z5.jpg', 'https://pbs.twimg.com/media/GFhY3adbYAAuD-x.jpg']",,,eléctrico
@MovilidadSN,Movilidad San Nicolas 🚨,"Jan 31, 2024 · 9:00 PM UTC",movilidadsn en movilidadsn te damos las siguientes recomendaciones para que puedas evitar accidentes viales gobsannicolas,3,1,0,0,https://twitter.com/MovilidadSN/status/1752798912937906619#m,['https://pbs.twimg.com/media/GFME5sIX0AAs2LL.png'],,,no se relaciona
@MovilidadSN,Movilidad San Nicolas 🚨,"Jan 22, 2024 · 1:58 PM UTC",buen día movilidadsn te comparte las siguientes recomendaciones para este dia de lluvia gobsannicolas,6,2,0,0,https://twitter.com/MovilidadSN/status/1749431371741692217#m,['https://pbs.twimg.com/media/GEc6j5hXgAAAH5W.jpg'],,,lluvia
@MovilidadSN,Movilidad San Nicolas 🚨,"Jan 16, 2024 · 9:38 PM UTC",movilidadsn te damos las siguientes recomendaciones para evitar accidentes,5,2,0,0,https://twitter.com/MovilidadSN/status/1747372895536402615#m,['https://pbs.twimg.com/media/GD_qYgxXUAA-C__.jpg'],,,no se relaciona
@SSP_Apodaca,Policía de Apodaca,"Jun 19, 2024 · 5:49 PM UTC",en las próximas horas se esperan lluvias de moderadas a fuertes en nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,12,4,0,0,https://twitter.com/SSP_Apodaca/status/1803485166738055542#m,['https://pbs.twimg.com/media/GQdEDvbaIAEdtGm.jpg'],,,lluvia
@SSP_Apodaca,Policía de Apodaca,"Feb 17, 2024 · 3:38 PM UTC",continúa la lluvia en gran parte de nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,6,4,0,0,https://twitter.com/SSP_Apodaca/status/1758878619969933385#m,['https://pbs.twimg.com/media/GGjKyG8WoAAhmdY.jpg'],,,lluvia
@SSP_Apodaca,Policía de Apodaca,"Oct 5, 2023 · 7:00 PM UTC",en las próximas horas se esperan lluvias de moderadas a fuertes en nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,4,3,1,0,https://twitter.com/SSP_Apodaca/status/1710007079438586181#m,['https://pbs.twimg.com/media/F7sqXOtXgAAAidq.jpg'],,,lluvia
@SSP_Apodaca,Policía de Apodaca,"Aug 22, 2023 · 4:48 PM UTC",se acercan las lluvias a nuestro municipio tus limpiaparabrisas funcionan correctamente conoce el momento adecuando para sustituirlos alsiguientenivel cccicmty mtyfollow asiesmonterrey,5,4,2,0,https://twitter.com/SSP_Apodaca/status/1694028712432296291#m,['https://pbs.twimg.com/media/F4JmHnsW4AMj4fx.jpg'],,,lluvia
@SSP_Apodaca,Policía de Apodaca,"Jul 6, 2023 · 10:37 PM UTC",precaución inicia la lluvia en varios sectores del municipio te recordamos estas reglas básicas al conducir con pavimento mojado cc cicmty mtyfollow asiesmonterrey,26,13,3,0,https://twitter.com/SSP_Apodaca/status/1677084434313662464#m,['https://pbs.twimg.com/media/F0YzZtVaIAAZzro.jpg'],,,lluvia
@PC_NuevoLeon,Protección Civil NL,"Jun 21, 2024 · 2:20 AM UTC",ponteatento se reporta lluvia fuerte en autopista monterrey reynosa límites guadalupe y juárez extreme precauciones al conducir ante cualquier emergencia llama al todasytodossomosproteccióncivil,279,35,8,0,https://twitter.com/PC_NuevoLeon/status/1803976260386693471#m,,['https://video.twimg.com/ext_tw_video/1803976236676358144/pu/vid/avc1/848x478/3KQmSyciInF3N0rS.mp4?tag=12'],,lluvia
@PC_NuevoLeon,Protección Civil NL,"Jun 21, 2024 · 12:40 AM UTC",ponteatento río santa catarina no bajes la guardia la lluvia continuará de manera fuerte a intensa durante esta nochemadrugada y próximos días extreme precauciones y evite zonas de riesgo ante cualquier emergencia llama al,477,85,6,4,https://twitter.com/PC_NuevoLeon/status/1803951169791762795#m,,['https://video.twimg.com/ext_tw_video/1803951100321488897/pu/vid/avc1/848x384/tEkdiDqP85rO0Jrb.mp4?tag=12'],,lluvia
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 6:01 PM UTC",ponteatento lluvia fuerte en carretera a mamulique en salinas victoria extreme precauciones y modere su velocidad al conducir seguiremos informando todasytodossomosproteccióncivil,25,6,0,0,https://twitter.com/PC_NuevoLeon/status/1803850661509181657#m,,['https://video.twimg.com/ext_tw_video/1803850623718481920/pu/vid/avc1/478x850/WLEjupdZYfGX822u.mp4?tag=12'],,lluvia
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 6:00 PM UTC",ponteatento para cualquier situación de riesgo prepara tu mochila de emergencia no bajemos la guardia las lluvias continuarán durante todo el día de hoy todasytodossomosproteccióncivil,28,12,0,0,https://twitter.com/PC_NuevoLeon/status/1803850521414889941#m,['https://pbs.twimg.com/media/GQiQfWPa0AAsL80.jpg'],,,lluvia
@conagua_clima,CONAGUA Clima,"Jun 20, 2024 · 7:05 AM UTC",se pronostican lluvias fuertes a muy fuertes descargaseléctricas y rachas de viento de a kmh en entidades del noreste de méxico así como oleaje y posibles trombas marinas en zonas costeras ve los detalles,119,19,1,1,https://twitter.com/conagua_clima/status/1803685664157999481#m,['https://pbs.twimg.com/media/GQf4MsiaIAIAYzJ.jpg'],,,lluvia
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:54 AM UTC",ponteatento av fidel velázquez en san nicolas monterrey se reporta lluvia fuerte extreme precauciones no cruce por avenidas o calles inundadas ante cualquier emergencia llama al todasytodossomosproteccióncivil,350,40,1,3,https://twitter.com/PC_NuevoLeon/status/1803652521191415858#m,,['https://video.twimg.com/ext_tw_video/1803652418577616898/pu/vid/avc1/1280x576/6dcsGUqXRInOnvVr.mp4?tag=12'],,lluvia
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:16 AM UTC",quédateencasa la lluvia continuará durante toda la noche y madrugada del jueves no bajes la guardia ante cualquier emergencia llamar al todasytodossomosproteccióncivil,14,2,1,0,https://twitter.com/PC_NuevoLeon/status/1803642953446957142#m,,,,lluvia
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:16 AM UTC",ponteatento continuan nuestras unidades de protección civil nuevo león en recorridos de prevención y seguridad ante la presencia de lluvia fuerte que se registra en el estado por la tormenta tropical alberto,114,10,1,0,https://twitter.com/PC_NuevoLeon/status/1803642951240753336#m,,['https://video.twimg.com/ext_tw_video/1803642888686911488/pu/vid/avc1/848x478/Dn_8A24B3aZNT9rB.mp4?tag=12'],,lluvia
